nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,1897,29.25,178,2.74,12,0.19,175,2.7,83,1.28,3017,46.52,1124,17.33,6486
Coblong,4419,35.72,1211,9.79,23,0.19,692,5.59,276,2.23,4343,35.1,1408,11.38,12372
Babakan Ciparay,3470,20.16,249,1.45,32,0.19,102,0.59,254,1.48,10437,60.63,2669,15.51,17213
Bojongloa Kaler,5544,39.5,446,3.18,56,0.4,248,1.77,196,1.4,4650,33.13,2896,20.63,14036
Andir,2457,23.52,768,7.35,19,0.18,157,1.5,278,2.66,4300,41.16,2469,23.63,10448
Cicendo,2623,27.18,511,5.29,32,0.33,223,2.31,156,1.62,4127,42.76,1980,20.51,9652
Sukajadi,3244,27.95,1988,17.13,37,0.32,581,5.01,176,1.52,3493,30.09,2089,18,11608
Cidadap,1358,21.65,248,3.95,7,0.11,106,1.69,527,8.4,3076,49.04,951,15.16,6273
Bandung Wetan,1587,46.88,434,12.82,27,0.8,105,3.1,102,3.01,704,20.8,426,12.58,3385
Astana Anyar,2455,34.76,290,4.11,50,0.71,175,2.48,239,3.38,2927,41.44,927,13.12,7063
Regol,4511,51.98,384,4.42,279,3.21,41,0.47,143,1.65,2768,31.89,553,6.37,8679
Batununggal,3643,30.24,278,2.31,18,0.15,211,1.75,94,0.78,5833,48.41,1971,16.36,12048
Lengkong,2148,41.45,224,4.32,15,0.29,193,3.72,211,4.07,1816,35.04,575,11.1,5182
Cibeunying Kidul,4015,31.26,1146,8.92,53,0.41,294,2.29,305,2.38,5454,42.47,1575,12.26,12842
Bandung Kulon,6666,59.02,291,2.58,10,0.09,160,1.42,310,2.74,2167,19.19,1691,14.97,11295
Kiaracondong,3945,27.26,230,1.59,20,0.14,460,3.18,178,1.23,6859,47.39,2782,19.22,14474
Bojongloa Kidul,2239,23.38,125,1.31,32,0.33,28,0.29,234,2.44,6120,63.9,800,8.35,9578
Cibeunying Kaler,2891,39.66,260,3.57,27,0.37,210,2.88,121,1.66,2457,33.7,1324,18.16,7290
Sumur Bandung,855,33.7,99,3.9,2,0.08,154,6.07,82,3.23,923,36.38,422,16.63,2537
Antapani,2891,38.75,174,2.33,31,0.42,220,2.95,84,1.13,3114,41.74,947,12.69,7461
Bandung Kidul,721,22.62,63,1.98,7,0.22,110,3.45,24,0.75,1667,52.31,595,18.67,3187
Buahbatu,2809,31.54,132,1.48,26,0.29,155,1.74,143,1.61,4367,49.03,1274,14.3,8906
Rancasari,3781,38.78,378,3.88,35,0.36,242,2.48,80,0.82,4241,43.5,993,10.18,9750
Arcamanik,2359,34.15,236,3.42,24,0.35,111,1.61,399,5.78,2974,43.06,804,11.64,6907
Cibiru,1385,19.54,127,1.79,31,0.44,154,2.17,244,3.44,3760,53.05,1387,19.57,7088
Ujung Berung,10306,60.56,141,0.83,58,0.34,469,2.76,396,2.33,3964,23.29,1685,9.9,17019
Gedebage,2223,39.33,537,9.5,111,1.96,168,2.97,126,2.23,1894,33.51,593,10.49,5652
Panyileukan,1537,37.68,131,3.21,3,0.07,193,4.73,80,1.96,1539,37.73,596,14.61,4079
Cinambo,900,27.92,67,2.08,9,0.28,61,1.89,45,1.4,1585,49.18,556,17.25,3223
Mandalajati,1993,23.5,281,3.31,10,0.12,181,2.13,157,1.85,4166,49.12,1693,19.96,8481
