KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.35 . 00 . 00 . 5,BELANJA,17089011784,
1.20 . 1.20.35 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,4996689526,
1.20 . 1.20.35 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,4996689526,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.35 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,12092322258,
1.20 . 1.20.35 . 01,Program Pelayanan Administrasi Perkantoran,1557056000,
1.20 . 1.20.35 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,156265000,
1.20 . 1.20.35 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,156265000,
1.20 . 1.20.35 . 01 . 08,Penyediaan jasa kebersihan kantor,35640000,
1.20 . 1.20.35 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,35640000,
1.20 . 1.20.35 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,18436000,
1.20 . 1.20.35 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,18436000,
1.20 . 1.20.35 . 01 . 10,Penyediaan alat tulis kantor,42365000,
1.20 . 1.20.35 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,42365000,
1.20 . 1.20.35 . 01 . 11,Penyediaan barang cetakan dan penggandaan,49775000,
1.20 . 1.20.35 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,49775000,
1.20 . 1.20.35 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,10500000,
1.20 . 1.20.35 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,10500000,
1.20 . 1.20.35 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,1022305000,
1.20 . 1.20.35 . 01 . 13 . 5 . 2 . 3,Belanja Modal,1022305000,
1.20 . 1.20.35 . 01 . 14,Penyediaan peralatan rumah tangga,18070000,
1.20 . 1.20.35 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,18070000,
1.20 . 1.20.35 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,84300000,
1.20 . 1.20.35 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,84300000,
1.20 . 1.20.35 . 01 . 17,Penyediaan makanan dan minuman,31400000,
1.20 . 1.20.35 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,31400000,
1.20 . 1.20.35 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,88000000,
1.20 . 1.20.35 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,88000000,
1.20 . 1.20.35 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1527921258,
1.20 . 1.20.35 . 02 . 05,pengadaan Kendaraan dinas/operasional,50000000,
1.20 . 1.20.35 . 02 . 05 . 5 . 2 . 3,Belanja Modal,50000000,
1.20 . 1.20.35 . 02 . 10,Pengadaan mebeleur,100000000,
1.20 . 1.20.35 . 02 . 10 . 5 . 2 . 3,Belanja Modal,100000000,
1.20 . 1.20.35 . 02 . 12,Pengadaan Perlengkapan Peralatan Aparatur,216150000,
1.20 . 1.20.35 . 02 . 12 . 5 . 2 . 3,Belanja Modal,216150000,
1.20 . 1.20.35 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,202785000,
