NO,KELURAHAN,NAMA SUNGAI
1,Pasirkaliki,Cikakak
2,Pasirkaliki,Cikeueus
3,Arjuna,Cikakak
4,Arjuna,Citepus
5,Husein Sastranegara,Cilimus
6,Husein Sastranegara,Cibogo
7,Husein Sastranegara,Leuwilimus
8,Pamoyanan,Cikakak
9,Pamoyanan,Leuwilimus
10,Pajajaran,Cilimus
11,Pajajaran,Citepus
12,Pajajaran,Leuwilimus
13,Sukaraja,Ciwarega
14,Sukaraja,Cibogo
