bulan,tahun,jumlah_laporan,laju_verifikasi,laju_tindak_lanjut
Januari,2016,192,1.84,9.77
Februari,2016,163,1.43,5.06
Maret,2016,194,1.98,6.82
April,2016,200,7.55,5.74
Mei,2016,169,9.26,11.84
Juni,2016,149,3.80,10.62
Juli,2016,125,11.79,9.86
Agustus,2016,192,4.94,5.82
September,2016,200,4.82,6.71
Oktober,2016,277,5.88,9.22
November,2016,233,4.23,16.21
Desember,2016,98,7.02,15.54
