nama_perusahaan,jenis_izin
"PT. HOTEL COKLAT / COKLAT 
Jalan Soekarno Hatta No. 483 Bandung",Izin Usaha Kepariwisataan 2013
"PT. HOTEL COKLAT / COKLAT 
Jalan Soekarno Hatta No. 483 Bandung",Izin Usaha Kepariwisataan 2013
"PT. SAKATA  CONVENXIA 
Jl. Cihampelas  No. 232  Bandung",Izin Usaha Kepariwisataan 2013
"CV. DJAVA  VISTA  WAHANA 
Gang  Madniah  No. 15/75  Bandung",Izin Usaha Kepariwisataan 2013
"""i"" Reflexy dan Spa 
Jalan Supratman No. 43 Bandung",Izin Usaha Kepariwisataan 2013
"WISMA GALAXY 
Jalan Buah Batu No. 74",Izin Usaha Kepariwisataan 2013
"PT. KUMALA ABADI/BILIQUE BAVERLY KARAOKE 
Jalan Sersan Bajuri No. 100",Izin Usaha Kepariwisataan 2013
"CV. TIGA PENDAWA JAYA / INUL VIZTA 
Jalan Pasirkaliki No. 25-27 Hyper Square Blok D50-D57 Bandung",Izin Usaha Kepariwisataan 2013
"PT. RADHA BOGA JAYA 
Jalan RE. Martadinata No. 28-A Bandung",Izin Usaha Kepariwisataan 2013
"WAROENG STEAK AND SHAKE 
Jalan Lombok No. 9",Izin Usaha Kepariwisataan 2013
"PT. BANGUN MITRA MANDIRI 
Jalan Braga No. 99 - 101",Izin Usaha Kepariwisataan 2013
"WISMA GANDAPURA 
Jalan RE. Martadinata No. 120",Izin Usaha Kepariwisataan 2013
"GUEST HOUSE 
Jalan Suryalaya Raya No. 24-A Bandung",Izin Usaha Kepariwisataan 2013
"PRATIDINA RESIDENCE 
JL.  CIKUTRA BARAT  NO. 41  BANDUNG",Izin Usaha Kepariwisataan 2013
"BLACK  PAPER 
Jl. Maulana  Yusuf  No. 10  Bandung",Izin Usaha Kepariwisataan 2013
"PT. NAV BIMA PRATAMA 
Jalan Dr. Jumjunan No. 128",Izin Usaha Kepariwisataan 2013
"THE STAR (PT. BINTANG CENDRAWASIH) 
Jalan Pungkur No. 234 Bandung",Izin Usaha Kepariwisataan 2013
"THE STAR (PT. BINTANG CENDRAWASIH) 
Jalan Pungkur No. 234 Bandung",Izin Usaha Kepariwisataan 2013
"GOR OLAHRAGA 
Jalan Nursaid No. 7-9",Izin Usaha Kepariwisataan 2013
"PT. WAGUNA 
Jalan Pelajar Pejuang 45 No. 119",Izin Usaha Kepariwisataan 2013
"PT. WAGUNA 
Jalan Pelajar Pejuang 45 No. 119",Izin Usaha Kepariwisataan 2013
"MELATI MASSAGE 
Jalan Dalem Kaum No. 93",Izin Usaha Kepariwisataan 2013
"MELATI 2 
Jalan Dr. Setiabudhi No. 138",Izin Usaha Kepariwisataan 2013
"PT. HAPPY  PUPPY  INDONESIA / NAV  KARAOKE 
Jl. PP 45  No. 155  Bandung",Izin Usaha Kepariwisataan 2013
"BERSIH SEHAT 
Jalan Sultan Tirtayasa No. 31",Izin Usaha Kepariwisataan 2013
"WISMA NUSA INDAH 
JL. LODAYA NO. 95 BANDUNG",Izin Usaha Kepariwisataan 2013
"PT. UNITED TRANS LINK 
Jalan Kalijati 4 NO. 25",Izin Usaha Kepariwisataan 2013
"PANGLAYUNGAN HOTEL & RESIDENCE 
Jalan Gegerkalong Hilir No. 25 B",Izin Usaha Kepariwisataan 2013
"PT. GLOBAL MENTARI 
Jalan Raden Patah No. 39 Bandung ",Izin Usaha Kepariwisataan 2013
"PT. WISMA PROGO 
Jalan Progo No. 6",Izin Usaha Kepariwisataan 2013
"HOTEL AUGUSTA 
JL. SURAPATI NO. 203",Izin Usaha Kepariwisataan 2013
