NO,JENIS FASILITAS/SARANA OLAHRAGA,STATUS,LETAK,LUAS TANAH,LUAS BANGUNAN,TAHUN PENDIRIAN
1,TENIS MEJA,TERBUKA,RT.04 RW. 01 Kel Kebonlega,48 M2,-,
2,LAP. SEPAK BOLA,TERBUKA,RT.02 RW. 02 Kel Kebonlega,1.000 M2,-,
3,GOR SATRIA,TERTUTUP,RT.02 RW.02 Kel Kebonlega,300 M2,,
4,SILAT GAJAH PUTIH,TERBUKA,RT.03 RW.02 Kel Kebonlega,100 M2,-,1985
5,PB BLODES,TERBUKA,RT.04 RW.04 Kel Kebonlega,90 M2,-,
6,PB RW.05,TERBUKA,RT.02 RW.05 Kel Kebonlega,94 M2,-,
7,PB. BAROKAH,TERBUKA,RT.04 RW.06 Kel Kebonlega,140 M2,-,
8,SILAT PUSAKA BANDUNG,TERBUKA,RT.03 rw. .06 Kel. Kebonlega,,-,1988
9,PB MEKAR JAYA,TERTUTUP,RT.01 RW.06 Kel Kebonlega,48 M2,,
10,TENIS MEJA,TERBUKA,RT.07 RW.07 Kel Kebonlega,50 M2,-,
11,TENIS MEJA,TERBUKA,RT.03 RW.07 Kel Kebonlega,340 M2,-,
12,GOR SAMSUDIN,TERTUTUP,RT.02 RW.09 Kel Kebonlega,1000 M2,,
13,LAP. SEPAK BOLA,TERBUKA,RT.04 RW.09 Kel Kebonlega,1000 M2,-,
14,LAP. SEPAK BOLA,TERBUKA,RT.03 RW.10 Kel Kebonlega,400 M2,-,
15,LAP.VOLY BALL,TERBUKA,RT.01 RW.11 Kel Kebonlega,48 M2,-,
16,PB. MARA,TERTUTUP,RT.03 RW.04 Kel Situsaeur,560  M2,,
17,PB. MANDIRI,TERTUTUP,RT.03 RW.06 Kel Situsaeur,1.100 M2,,
18,PB. KOMALA,TERTUTUP,RT.05 RW.04 Kel Situsaeur,500 M2,,
19,PB. T.T.H,TERTUTUP,RT.03 RW.01 Kel Situsaeur,750 M2,,
20,KARATE,,RT.   RW.04 Kel. Situsaeur,,,
21,SILAT,TERBUKA,RT.01 RW.03 Kel. Situsaeur,,-,
22,PB. BERDIKARI,TERTUTUP,RT.04 RW.06 Kel. Cibaduyut,250  M2,200 M2,2004
23,PB. KURNIA,TERTUTUP,RT.04 RW.04 Kel. Cibaduyut,150 M2,100 M2,1988
24,LAP. SEPAK BOLA,TERBUKA,RT.04 RW.02 Kel. Cibaduyut,2.500 M2,-,2006
25,GOLF MINI,TERBUKA,Komp. Singgasana Pradana,1.500 M2,750 M2,2000
26,TENIS MEJA,TERBUKA,RT.03 RW.02 Kel Cibaduyut,30 M2,-,2006
27,VOLLEY BALL,TERBUKA,sda,162 M2,-,2000
28,SILAT GAGAK RANCANG,TERBUKA,RW.08 Kel. Cibaduyut,40 M2,-,1990
29,PB. KERJA SAMA,TERTUTUP,RT.02 RW. 03 Kel. Mekarwangi,392 M2,,2004
30,KUTA GALUH,TERBUKA,RT. 01 RW. 04 Kel. Mekarwangi,,-,1989
31,TENIS,TERTUTUP,RT.01 RW.05 Kel. Mekarwangi,392 M2,160 M2,2003
32,FOOT SAL,TERBUKA,sda,498 M2,498 M2,2005
33,SILAT GAJAH PUTIH MEGA PAKSI PUSAKA,TERBUKA,RT.01 RW.05 Kel. Mekarwangi,,-,2001
34,GOR SALIM,TERTUTUP,RT.03 RW.03 Kel. Cibaduyut Wetan,81 M2,,
35,GOR MURNI,TERTUTUP,RT.05 RW.02 Kel. Cibaduyut Wetan,110 M2,,
36,SILAT WANGSIT SAJATI,TERBUKA,RT.02 RW.04 Kel. Cibaduyut Wetan,,-,1998
37,VOLY BALL,TERBUKA,RT.05 RW.03 Kel. Cibaduyut Kidul,200 M2,-,
38,BASKET,TERBUKA,Jl. Boroburdur Kel. Cibaduyut Kidul,200 M2,-,
39,PB HANJAYA PUTRA,TERTUTUP,Jl. Borobudur Kel. Cibaduyut Kidul,2.600 M2,,
40,BULU TANGKIS,TERBUKA,Ciparay Tengah Kel. Cibaduyut Kidul,280 M2,-,
41,VOLY BALL,TERBUKA,Ciparay Tengah Kel. Cibaduyut Kidul,280 M2,-,
42,VOLY BALL,TERBUKA,Ciparay Tengah Kel. Cibaduyut Kidul,200 M2,-,
43,SILAT PUSAKA MEDAL,TERBUKA,RW.06 Kel. Cibaduyut Kidul,,-,1970
44,FOOT SAL,TERTUTUP,RW.02 Kel. Cibaduyut Permai,,,2007
