NO,UMUR,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
1,0 - 4,3526,3393,0,0
2,5 - 9,2998,3107,0,0
3,10 - 14,3661,4823,0,0
4,15 - 19,3941,3733,0,0
5,20 - 24,3056,3364,0,2
6,25 - 29,2757,3058,0,0
7,30 - 34,3007,2805,2,0
8,35 - 39,2843,2976,0,0
9,40 - 44,3037,3155,4,0
10,45 - 49,3219,3065,0,0
11,50 - 54,2508,2359,0,0
12,55 - 59,2458,2396,0,0
13,60 - 64,1940,1889,1,0
14,65 Keatas,1533,1775,1,1
