indikator,kecamatan,kelurahan_desa,tidak_pernah_sekolah,setingkat_sd,setingkat_smp,setingkat_sma,perguruan_tinggi,total_krt
"Partisipasi Sekolah","BANDUNG KULON","GEMPOL SARI",12,400,130,99,4,645
"Partisipasi Sekolah","BANDUNG KULON","CIGONDEWAH KALER",11,1205,199,129,4,1548
"Partisipasi Sekolah","BANDUNG KULON","CIGONDEWAH KIDUL",0,372,40,8,1,422
"Partisipasi Sekolah","BANDUNG KULON","CIGONDEWAH RAHAYU",2,543,70,18,0,638
"Partisipasi Sekolah","BANDUNG KULON",CARINGIN,1,169,51,26,0,248
"Partisipasi Sekolah","BANDUNG KULON","WARUNG MUNCANG",35,1080,342,294,5,1756
"Partisipasi Sekolah","BANDUNG KULON",CIBUNTU,7,502,197,154,5,866
"Partisipasi Sekolah","BANDUNG KULON",CIJERAH,14,847,329,226,3,1420
"Partisipasi Sekolah","BABAKAN CIPARAY",MARGASUKA,36,438,112,71,5,662
"Partisipasi Sekolah","BABAKAN CIPARAY",CIRANGRANG,16,458,126,48,2,650
"Partisipasi Sekolah","BABAKAN CIPARAY","MARGAHAYU UTARA",25,783,183,129,3,1125
"Partisipasi Sekolah","BABAKAN CIPARAY","BABAKAN CIPARAY",9,1329,319,223,5,1885
"Partisipasi Sekolah","BABAKAN CIPARAY",BABAKAN,20,1482,400,249,8,2162
"Partisipasi Sekolah","BABAKAN CIPARAY",SUKAHAJI,19,1363,430,297,7,2120
"Partisipasi Sekolah","BOJONGLOA KALER",KOPO,12,1025,442,346,3,1828
"Partisipasi Sekolah","BOJONGLOA KALER","SUKA ASIH",6,984,403,411,21,1835
"Partisipasi Sekolah","BOJONGLOA KALER","BABAKAN ASIH",7,747,313,329,19,1421
"Partisipasi Sekolah","BOJONGLOA KALER","BABAKAN TAROGONG",3,1380,525,527,9,2448
"Partisipasi Sekolah","BOJONGLOA KALER",JAMIKA,20,1367,561,559,13,2523
"Partisipasi Sekolah","BOJONGLOA KIDUL","CIBADUYUT KIDUL",1,486,82,56,2,627
"Partisipasi Sekolah","BOJONGLOA KIDUL","CIBADUYUT WETAN",2,324,63,40,2,431
"Partisipasi Sekolah","BOJONGLOA KIDUL","MEKAR WANGI",5,513,158,121,4,804
"Partisipasi Sekolah","BOJONGLOA KIDUL",CIBADUYUT,10,647,150,108,5,921
"Partisipasi Sekolah","BOJONGLOA KIDUL","KEBON LEGA",31,681,240,193,5,1150
"Partisipasi Sekolah","BOJONGLOA KIDUL",SITUSAEUR,9,680,256,253,5,1203
"Partisipasi Sekolah",ASTANAANYAR,KARASAK,5,222,80,131,2,442
"Partisipasi Sekolah",ASTANAANYAR,"PELINDUNG HEWAN",1,436,225,189,4,860
"Partisipasi Sekolah",ASTANAANYAR,NYENGSERET,7,313,152,140,3,615
"Partisipasi Sekolah",ASTANAANYAR,PANJUNAN,4,242,89,88,2,425
"Partisipasi Sekolah",ASTANAANYAR,CIBADAK,1,307,120,150,4,583
"Partisipasi Sekolah",ASTANAANYAR,"KARANG ANYAR",7,77,50,41,1,176
"Partisipasi Sekolah",REGOL,CISEUREUH,12,501,212,187,5,918
"Partisipasi Sekolah",REGOL,PASIRLUYU,21,643,182,189,1,1038
"Partisipasi Sekolah",REGOL,ANCOL,0,246,95,131,3,477
"Partisipasi Sekolah",REGOL,CIGERELENG,3,149,90,121,7,371
"Partisipasi Sekolah",REGOL,CIATEUL,0,77,54,72,7,211
"Partisipasi Sekolah",REGOL,PUNGKUR,0,110,50,71,2,233
"Partisipasi Sekolah",REGOL,"BALONG GEDE",2,112,53,64,0,231
"Partisipasi Sekolah",LENGKONG,CIJAGRA,0,128,64,63,0,256
"Partisipasi Sekolah",LENGKONG,TURANGGA,0,65,43,52,2,163
"Partisipasi Sekolah",LENGKONG,"LINGKAR SELATAN",0,40,20,52,1,113
"Partisipasi Sekolah",LENGKONG,MALABAR,1,147,80,77,2,309
"Partisipasi Sekolah",LENGKONG,BURANGRANG,5,208,151,91,4,459
"Partisipasi Sekolah",LENGKONG,CIKAWAO,10,147,87,103,5,354
"Partisipasi Sekolah",LENGKONG,PALEDANG,0,97,63,85,4,250
"Partisipasi Sekolah","BANDUNG KIDUL",WATES,0,298,195,171,7,671
"Partisipasi Sekolah","BANDUNG KIDUL",MENGGER,10,301,103,49,2,465
"Partisipasi Sekolah","BANDUNG KIDUL",BATUNUNGGAL,2,637,261,223,5,1130
"Partisipasi Sekolah","BANDUNG KIDUL",KUJANGSARI,6,658,263,194,3,1126
"Partisipasi Sekolah",BUAHBATU,CIJAURA,30,903,258,224,5,1424
"Partisipasi Sekolah",BUAHBATU,MARGASARI,41,1119,458,308,10,1938
"Partisipasi Sekolah",BUAHBATU,SEKEJATI,10,550,195,134,4,893
"Partisipasi Sekolah",BUAHBATU,"JATI SARI",0,151,93,50,1,296
"Partisipasi Sekolah",RANCASARI,DERWATI,11,700,275,141,0,1129
"Partisipasi Sekolah",RANCASARI,CIPAMOKOLAN,103,335,120,97,2,657
"Partisipasi Sekolah",RANCASARI,MANJAHLEGA,10,270,56,48,3,388
"Partisipasi Sekolah",RANCASARI,MEKARJAYA,10,465,113,69,3,660
"Partisipasi Sekolah",GEDEBAGE,RANCABOLANG,9,205,83,54,3,355
"Partisipasi Sekolah",GEDEBAGE,RANCANUMPANG,16,59,30,16,2,124
"Partisipasi Sekolah",GEDEBAGE,"CISARANTEN KIDUL",29,445,221,118,3,818
"Partisipasi Sekolah",GEDEBAGE,CIMINCRANG,13,159,47,27,3,249
"Partisipasi Sekolah",CIBIRU,"PASIR BIRU",37,586,169,165,11,970
"Partisipasi Sekolah",CIBIRU,CIPADUNG,10,630,284,199,15,1140
"Partisipasi Sekolah",CIBIRU,PALASARI,3,428,232,178,8,851
"Partisipasi Sekolah",CIBIRU,CISURUPAN,3,587,183,113,4,891
"Partisipasi Sekolah",PANYILEUKAN,"MEKAR MULYA",0,52,28,25,4,109
"Partisipasi Sekolah",PANYILEUKAN,"CIPADUNG KIDUL",0,74,45,51,5,175
"Partisipasi Sekolah",PANYILEUKAN,"CIPADUNG WETAN",2,199,87,57,3,348
"Partisipasi Sekolah",PANYILEUKAN,"CIPADUNG KULON",2,350,175,124,2,653
"Partisipasi Sekolah","UJUNG BERUNG",PASANGGRAHAN,36,724,278,242,4,1286
"Partisipasi Sekolah","UJUNG BERUNG",PASIRJATI,12,579,272,234,5,1104
"Partisipasi Sekolah","UJUNG BERUNG","PASIR WANGI",32,655,272,181,3,1143
"Partisipasi Sekolah","UJUNG BERUNG",CIGENDING,15,396,276,223,4,914
"Partisipasi Sekolah","UJUNG BERUNG","PASIR ENDAH",6,192,88,78,1,366
"Partisipasi Sekolah",CINAMBO,"CISARANTEN WETAN",1,186,80,57,0,325
"Partisipasi Sekolah",CINAMBO,"BABAKAN PENGHULU",3,271,95,44,0,414
"Partisipasi Sekolah",CINAMBO,PAKEMITAN,1,91,42,57,0,191
"Partisipasi Sekolah",CINAMBO,SUKAMULYA,4,158,99,97,2,360
"Partisipasi Sekolah",ARCAMANIK,"CISARANTEN KULON",7,553,267,224,8,1061
