skpd_terlapor,januari_2014,februari_2014,maret_2014,april_2014,mei_2014,juni_2014,juli_2014,agustus_2014,september_2014,oktober_2014,november_2014,desember_2014
Asisten Pemerintahan dan Kesejahteraan Rakyat Kota Bandung,0,0,0,0,1,0,0,0,0,0,0,1
"Badan Kepegawaian, Pendidikan dan Pelatihan Kota Bandung",8,12,4,1,2,1,7,3,0,1,6,2
Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia,1,0,0,0,0,0,0,0,0,0,0,0
Badan Pengelolaan Keuangan dan Aset Kota Bandung,4,3,1,1,1,1,0,0,0,0,2,2
Badan Pengelolaan Pendapatan Daerah Kota Bandung,3,4,2,0,1,2,0,0,0,3,2,1
"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Kota Bandung",4,2,1,1,1,2,0,2,0,2,2,2
Bagian Hukum Kota Bandung,0,0,1,1,0,0,0,0,0,1,0,1
Bagian Kesejahteraan Rakyat dan Kemasyarakatan Kota Bandung,2,2,0,1,0,1,0,0,0,1,0,0
Bagian Organisasi dan Pemberdayaan Aparatur Daerah Kota Bandung,0,2,1,0,0,1,0,0,0,0,3,0
Bagian Pemerintahan Kota Bandung,2,3,0,2,3,6,6,4,1,1,7,14
Bagian Pengadaan Barang dan Jasa Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0
Bagian Perekonomian Kota Bandung,0,0,0,0,0,2,2,0,0,1,0,0
Bagian Tata Usaha dan Kepegawaian Kota Bandung,0,1,0,0,0,0,1,0,0,0,0,0
Bagian Umum dan Keuangan Kota Bandung,2,4,2,0,0,0,0,1,0,0,0,0
BPJS Kesehatan Divisi Regional V,0,0,0,0,0,0,0,0,0,0,0,0
Dinas Kebakaran dan Penanggulangan Bencana Kota Bandung,0,0,0,0,0,0,1,0,0,4,0,0
Dinas Kebudayaan dan Pariwisata Kota Bandung,18,6,4,1,2,0,0,2,2,0,2,5
Dinas Kependudukan dan Pencatatan Sipil Kota Bandung,30,21,9,3,6,7,5,7,1,6,6,14
Dinas Kesehatan Kota Bandung,12,13,7,12,6,10,10,9,0,4,4,14
Dinas Komunikasi dan Informatika Kota Bandung,0,1,5,2,1,3,5,3,0,3,2,5
"Dinas Koperasi, Usaha Mikro, Kecil, dan Menengah Kota Bandung",10,6,5,1,12,2,4,2,3,6,2,2
Dinas Lingkungan Hidup dan Kebersihan Kota Bandung,9,5,6,3,0,2,0,3,1,3,4,3
Dinas Pangan dan Pertanian Kota Bandung,1,0,1,0,1,0,0,1,0,1,0,0
Dinas Pekerjaan Umum Kota Bandung,245,97,133,73,54,40,35,39,1,22,60,61
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Pemberdayaan Masyarakat Kota Bandung",0,2,4,1,0,0,1,1,0,2,0,0
Dinas Pemuda dan Olahraga Kota Bandung,4,0,0,0,0,0,0,0,0,1,0,1
Dinas Penanaman Modal dan PTSP Kota Bandung,7,4,12,6,2,10,7,4,0,3,8,5
Dinas Penataan Ruang Kota Bandung,28,23,9,11,12,9,13,9,2,14,21,9
Dinas Pendidikan Kota Bandung,13,25,24,8,14,50,95,44,2,10,25,15
Dinas Pengendalian Penduduk dan Keluarga Berencana Kota Bandung,0,0,0,0,0,0,0,1,1,0,2,0
Dinas Perhubungan Kota Bandung,87,44,34,20,39,46,39,54,0,48,68,54
Dinas Perpustakaan dan Kearsipan Kota Bandung,0,0,0,0,0,2,0,0,0,0,0,0
"Dinas Perumahan dan Kawasan Pemukiman, Pertanahan dan Pertamanan Kota Bandung",25,6,13,12,10,6,6,14,0,13,13,8
Dinas Sosial dan Penanggulangan Kemiskinan Kota Bandung,12,13,9,6,8,4,3,4,0,2,9,1
Dinas Tenaga Kerja Kota Bandung,5,4,5,4,8,1,3,5,0,3,8,8
Direktorat Jenderal Perhubungan Darat,0,0,0,0,0,0,0,0,0,0,0,0
Inspektorat Kota Bandung,5,3,1,3,2,0,0,1,0,3,2,2
"Kecamatan Andir, Kota Bandung",2,0,2,1,2,0,1,0,0,1,2,0
"Kecamatan Antapani, Kota Bandung",0,4,3,0,3,0,1,0,0,0,2,0
"Kecamatan Arcamanik, Kota Bandung",0,3,3,0,0,0,1,2,0,0,0,0
"Kecamatan Astana Anyar, Kota Bandung",2,0,0,0,1,2,3,2,0,0,2,0
"Kecamatan Babakan Ciparay, Kota Bandung",3,0,7,3,0,1,1,2,0,1,2,1
"Kecamatan Bandung Kidul, Kota Bandung",1,0,1,1,1,0,1,0,0,0,0,0
"Kecamatan Bandung Kulon, Kota Bandung",0,1,0,2,0,2,3,2,0,1,2,0
"Kecamatan Bandung Wetan, Kota Bandung",0,1,2,3,0,1,1,2,0,1,0,1
"Kecamatan Batununggal, Kota Bandung",2,2,1,1,1,3,1,1,0,4,0,5
"Kecamatan Bojongloa Kaler, Kota Bandung",1,3,3,2,2,0,1,2,0,1,4,1
"Kecamatan Bojongloa Kidul, Kota Bandung",3,0,0,1,0,0,0,0,0,2,0,0
"Kecamatan Buahbatu, Kota Bandung",3,2,3,0,1,1,2,1,0,4,0,2
"Kecamatan Cibeunying Kaler, Kota Bandung",1,1,2,3,1,1,0,1,0,1,2,0
"Kecamatan Cibeunying Kidul, Kota Bandung",1,4,1,9,1,3,0,2,0,4,1,0
"Kecamatan Cibiru, Kota Bandung",2,0,2,2,1,1,0,0,0,0,2,1
"Kecamatan Cicendo, Kota Bandung",0,0,0,4,0,1,1,1,0,2,3,1
"Kecamatan Cidadap, Kota Bandung",0,1,2,2,0,2,0,1,0,0,0,2
"Kecamatan Cinambo, Kota Bandung",0,0,1,1,0,0,0,0,0,0,1,0
"Kecamatan Coblong, Kota Bandung",4,7,2,3,1,0,5,2,0,1,3,0
"Kecamatan Gedebage, Kota Bandung",0,1,1,0,0,1,0,0,0,1,0,0
"Kecamatan Kiaracondong, Kota Bandung",0,4,1,1,1,0,1,3,0,7,2,1
"Kecamatan Lengkong, Kota Bandung",0,1,1,0,1,1,1,3,0,0,0,1
"Kecamatan Mandalajati, Kota Bandung",0,4,0,0,0,0,0,2,0,0,2,1
"Kecamatan Panyileukan, Kota Bandung",0,0,0,0,0,0,1,0,0,0,0,0
"Kecamatan Rancasari, Kota Bandung",1,3,3,0,2,6,3,2,0,0,0,0
"Kecamatan Regol, Kota Bandung",2,2,2,1,0,1,2,3,0,0,0,1
"Kecamatan Sukajadi, Kota Bandung",3,2,1,0,1,1,1,1,0,5,11,3
"Kecamatan Sukasari, Kota Bandung",0,1,0,0,0,0,0,0,0,0,0,1
"Kecamatan Sumur Bandung, Kota Bandung",0,3,0,1,0,1,2,4,0,1,2,0
"Kecamatan Ujungberung, Kota Bandung",0,0,0,2,0,0,0,1,0,0,0,0
Kementerian Agama,0,0,0,0,0,0,0,0,0,0,0,0
Kementerian Dalam Negeri,0,0,0,0,0,0,0,0,0,0,0,0
Kodim 0618/BS Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0
PD BPR Kota Bandung,0,0,0,0,0,0,0,0,0,0,2,0
PD Kebersihan Kota Bandung,41,24,15,6,5,12,6,14,1,7,9,17
PD Pasar Bermartabat Kota Bandung,8,2,6,2,3,2,1,3,1,2,2,2
PDAM Tirta Wening Kota Bandung,21,12,9,20,19,8,10,8,1,21,41,26
Pemerintah Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0
Polrestabes Bandung,0,0,0,0,0,0,0,0,0,0,0,0
PT Pertamina,0,0,0,0,0,0,0,0,0,0,0,0
Rumah Sakit Khusus Gigi dan Mulut (RSKGM) Kota Bandung,0,0,0,0,0,0,0,1,0,0,0,0
Rumah Sakit Umum Daerah Kota Bandung (RSUD),0,0,0,0,0,0,0,0,0,0,0,3
Satuan Polisi Pamong Praja Kota Bandung,101,43,31,17,27,26,28,15,1,25,23,27
Sekretariat DPRD Kota Bandung,1,0,0,0,0,0,1,0,0,0,0,0
