NO.,NAMA MESJID,ALAMAT,KELURAHAN,STATUS TANAH,TAHUN BERDIRI
46,AR-ROHMAN,Parakan saat Rw.02 Rw 13,CISARANTEN ENDAH,Wakaf,1920
47,AL-FATAH,Parakan saat Rt.03 Rw 13,CISARANTEN ENDAH,Wakaf,1994
48,AL-IKHSAN,Parakan saat Rt.02 Rw.14,CISARANTEN ENDAH,Milik,1989
49,AL-MUHAJADIN,Parakan saat Rt.03 Rw 14,CISARANTEN ENDAH,Milik,2003
50,AL-JABBAR,Cingised Rt02 Rw.06,CISARANTEN ENDAH,HGP,
51,AT-TAQWA,Griya Carakan,CISARANTEN ENDAH,HGB,
52,AL-MUHAJIRIN,Komp. Pasopati,CISARANTEN ENDAH,HGB,
53,NURUL HIDAYAH,Komp. Arcamanik RW.02,CISARANTEN ENDAH,Wakaf,
54,AL-MUBAROKAH,Cisaranten Endah RW.03,CISARANTEN ENDAH,Wakaf,
55,AT-TAQWA,Cisaranten Endah RW.03,CISARANTEN ENDAH,Wakaf,
56,KHUSNUL KHOTIMAH,Cisaranten Endah RW.04,CISARANTEN ENDAH,Wakaf,
57,AL-IKHLAS,Cisaranten Endah RW.06,CISARANTEN ENDAH,Wakaf,
58,AL-RIZAL,Cisaranten Endah RW.06,CISARANTEN ENDAH,Wakaf,
59,AL-HUDA,Cisaranten Endah RW.07,CISARANTEN ENDAH,Wakaf,
60,BAITU RAHMAN,Cisaranten Endah RW.08,CISARANTEN ENDAH,Wakaf,
61,MIFTAHUL INAYAH,Cisaranten Endah RW.09,CISARANTEN ENDAH,Wakaf,
62,RIA DUL JANAH,Cisaranten Endah RW.09,CISARANTEN ENDAH,Wakaf,
63,AT-TAUFIK,Cisaranten Endah RW.10,CISARANTEN ENDAH,Wakaf,
64,AL-FATTAH,Cisaranten Endah RW.11,CISARANTEN ENDAH,Wakaf,
