NO,NAMA PERUSAHAAN,ALAMAT,KELURAHAN,KECAMATAN,TIPE PERUSAHAAN
162,PT. Mitra Sejahtera,Jl. Puspa Utara II No. 33,Jatisari,Buah Batu,Jasa & Perdagangan Umum
163,PT. Central Bandung raya,Jl. Sanggar Kencana Utama No. 39,Jatisari,Buah Batu,Distributor Alat Kesehatan
164,PT. Perdana Prima mandiri,Jl. Sanggar Kencana XVI No. 19,Jatisari,Buah Batu,Jasa Kawal Uang Dan barang
165,PT. Mulya Raya Prima,Jl. Kawaluyaan Utama No. 7,Jatisari,Buah Batu,Jasa & Perdagangan Umum
166,PT. Sentra Panen Raya,Jl. Kawaluyaan No. 5,Jatisari,Buah Batu,Perdagangan Barang
167,PT. Arsel Medikal Teknologi,Jl. Soekarno Hatta No. 725,Jatisari,Buah Batu,Distributor Alat Kesehatan
168,PT. Mahakarya Cipta Nusa,Jl. Sanggar Kencana Utama No. 5,Jatisari,Buah Batu,Property & Perdagangan Umum
169,PT. Cakra Bumitala Wiguna,Jl. Sanggar Kencana VIII No. 30,Jatisari,Buah Batu,Kontruksi
170,PT. Mega maju Mandiri,Jl. Soekarno Hatta No. 725,Jatisari,Buah Batu,Jasa & Perdagangan Umum
171,PT. Raksa Putra Persada,Jl. Puspa Utama III,Jatisari,Buah Batu,Jasa Lainnya
172,PT. Mitratel,Jl. Kawaluyaan Indah VI No. 78,Jatisari,Buah Batu,Jasa Lainnya
173,PT. Mitra Solusindo,Jl. Kawaluyaan Indah I No. 14,Jatisari,Buah Batu,Jasa & Perdagangan Umum
174,PT. Sumber Rejeki Jananuraga,Jl. Sanggar Kencana XX No. 23,Jatisari,Buah Batu,Jasa & Perdagangan Umum
175,PT. Menara Surya Researt,Ruko Parahyangan Suite Metro,Jatisari,Buah Batu,Jasa & Perdagangan Umum
176,PT. Rizadit Citranaya Pancona,Palem Bintang No. 18,Jatisari,Buah Batu,Jasa & Perdagangan Umum
