ID PKL,LOKASI USAHA,KOMODITI
PKL01KBL,Jl.Soekarno Hatta,Kios Makanan
PKL02KBL,Jl.Soekarno Hatta RT.02/04,pembuat  Batu Nisan 
PKL03KBL,Jl.Soekarno Hatta,Kios makanan
PKL04KBL,Jl.Soekarno Hatta,Kios makanan
PKL05KBL,Jl.Soekarno Hatta,Tambal Ban
PKL06KBL,Jl.Soekarno Hatta,Baso Tahu
PKL07KBL,Jl.Cibaduyut Raya,Roda Batagor
PKL08KBL,Jl.Cibaduyut Raya,Kios Botol
PKL09KBL,Jl.Cibaduyut Raya,Roda Baso 
PKL10KBL,Jl.Cibaduyut Raya,Roda ES jus
PKL11KBL,Jl.Cibaduyut Raya,Pakaian
PKL12KBL,Jl.Cibaduyut Raya,Es Campur
PKL13KBL,Jl.Cibaduyut Raya,Baso Tahu
PKL14KBL,Jl.Cibaduyut Raya,Gorengan
PKL15KBL,Jl.Cibaduyut Raya,Kios Rokok
PKL16KBL,Jl. Cibaduyut Raya,Ice Cream
PKL17KBL,Jl. Cibaduyut Raya,Gorengan
PKL18KBL,Jl. Cibaduyut Raya,Duplikat Kunci
PKL19KBL,Jl. Cibaduyut Raya,Baso Ayam
PKL20KBL,Jl. Cibaduyut Raya,Batagor
PKL21KBL,Jl. Cibaduyut Raya,Tas
PKL22KBL,Jl. Cibaduyut Raya,Pakaian
PKL23KBL,Jl.Kopo,Kupa Tahu
PKL24KBL,Jl.Kopo,Roda Kopi+rokok
PKL25KBL,Jl.Kopo,Majalah/Koran
PKL26KBL,Jl.Kopo,Sarung Tangan
PKL27KBL,Jl.Kopo,Kios Warung Nasi
PKL28KBL,Jl.Kopo,Baso
PKL29KBL,Jl.Kopo,Nasi Kuning
PKL30KBL,Jl.Kopo,Jualan Burung
PKL31KBL,Jl.Kopo,Kios + Kopi
