LOKASI,KONDISI HIDRANT BAIK ,KONDISI HIDRANT RUSAK ,Debit Air Besar,Debit Air Besar
Jl. Raya Cibeureum simpang,Baik,-,Besar,-
Jl. Babakan Cibeureum,Baik,-,Besar,-
Jl. Pajajaran Simpang ,-,Rusak,Besar,-
Jl. Nakula,-,Rusak,Besar,-
Jl. Pajajaran Simpang ,Baik,-,Besar,-
jl. Pandu,Baik,-,Besar,-
Jl. Pasteur Simpang,Baik,-,-,Sedang
Jl. Babakan  ,Baik,-,-,Sedang
Jeruk Dekat Pintu TOL Padaleunyi,Baik,-,-,Sedang
Sukahaji Bawah Simpang,-,Rusak,Besar,-
Jl. Setra,-,Rusak,Besar,-
Jl. Geger Kalong Hilir Simpang ,Baik,-,Besar,-
Jl. Sukahaji (Depan Hotel Geger),Baik,-,Besar,-
Jl. Dr Sutami Depan Rumah Zakat,Baik,-,-,Sedang
Jl. Dr Sutami Depan Rumah  No 26,Baik,-,-,Sedang
Jl. Cikapayang Taman Cikapayang,Baik,-,Besar,-
Jl. Supratman Depan Pom Bensin (Santa Maria),Baik,-,Besar,-
Jl. Supratman Depan Gereja,Baik,-,Besar,-
Jl. Dipenogoro Dekat Taman Lansia,-,Rusak,Besar,
Jl. Setiabudi Simpang ,Baik,-,Besar,-
Jl. Hegar Manah (Depan Hotel Sany Rosa),Baik,-,Besar,-
Jl. Sadang Tengah Dekat Apotek Puri,-,Rusak,Besar,-
Jl. Setiabudi dekat Terminal Ledeng,-,Rusak,Besar,-
Jl. Setiabudi Simpang,-,Rusak,Besar,-
Jl. Budisari,-,Rusak,Besar,-
Jl. Setiabudi Depan No. 312,-,Rusak,Besar,-
Jl. Ters. A. Yani Simpang Jl. Cikadut,Baik,-,Besar,-
Jl. Ters. A. Yani Depan P.T Grantex,-,Rusak,Besar,-
Jl. Ters. A. Yani Depan  L.P. Sukamiskin,-,Rusak,Besar,-
Jl. Ters. A. Yani Depan Pintu Perumahan ( Taman Sari Bukit Bandung ),Baik,-,Besar,-
Jl. Kiaracondong 465 B,-,Rusak,Besar,-
Jl. Lauk Emas No. 8,-,Rusak,Besar,-
Jl. Sukarno Hatta Dekat POM bensin,-,Rusak,Besar,-
Jl. Waos No. 2,Baik,-,Besar,-
Jl. Buah Batu No. 26,-,Rusak,Besar,-
Jl. Sekelimus Tengah 01/07,-,Rusak,Besar,-
Jl. Baturaya Indah No. 74,-,Rusak,Besar,-
Jl. Buah Batu Depan Bank Muamalat,Baik,-,Besar,-
Jl. Inhoftank Rw 06,Baik,-,-,Sedang
Jl. Leuwi Panjang Rt 07/06 Situ Saeur,-,Rusak,Besar,-
Kebon Lega Rw 08 (Altamira),-,Rusak,Besar,-
Kebon Lega Cibintinu Rw 05,-,Rusak,-,Sedang
Kebon Lega Inhoftank Rw 02,-,Rusak,-,Sedang
Cibaduyut Kidul Salakadomas Rw 02,-,Rusak,Besar,-
Cibaduyut Kidul Rw 01,-,Rusak,Besar,-
Jl. Sukarno Hatta Bbk. Asih Rw 04,-,Rusak,-,Rusak
Jl. Peta Depan Polsek Bojongloa,Baik,-,Besar,-
Jl. Cibaduyut Raya Sebelum Jembatan Tol (Dekat Belokan),Baik,-,Besar,-
Jl. Otista Depan Tukang Cukur / Disamping Pintu Gerbang Tegallega,Baik,-,Besar,-
Jl. Ters. Buah Batu 113 (Gordon),-,Rusak,Besar,-
Jl. Arya Utama Depan No. 6,-,Rusak,Besar,-
Jl. Arya Utama Depan Kantor Pemasaran,-,Rusak,Besar,-
Jl. Arya Barat Depan Taman,-,Rusak,Besar,-
Jl. Arya Barat II Depan No. 7,-,Rusak,Besar,-
Jl. Arya Timur II Depan No. 6,-,Rusak,Besar,-
Jl. Arya Timur III Depan No. 1,-,Rusak,Besar,-
PT. Surya Jaya Bakti,-,Rusak,Besar,-
