NO,MATA PENCAHARIAN,LAKI-LAKI,PEREMPUAN,JUMLAH
1,Pegawai Negeri Sipil,144,130,274
2,TNI / POLRI,55,0,55
3,Pegawai Swasta,246,253,499
4,Tani,0,0,0
5,Dagang,439,527,966
6,Pelajar,3707,3299,7006
7,Mahasiswa,173,171,344
8,Pensiunan,120,105,225
9,Lain-lain,237,253,490
,JUMLAH,5121,4738,9859
