bulan,jml_izin_gangguan_2016,jml_retribusi_izin_gangguan_2016
Januari,316,389512380
Februari,374,202716990
Maret,548,432217380
April,546,483138084
Mei,480,279845100
Juni,572,586579230
Juli,316,163989738
Agustus,553,483993792
September,594,328047960
Oktober,470,211786710
November,0,0
Desember,0,0
