nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,25,33,57,0,385,0,0,0,189,0,3,10,4,161,49,22,23,53,28,336
Coblong,148,96,28,37,280,0,0,0,0,0,14,4,1,37,35,134,92,27,0,245
Babakan Ciparay,91,56,11,48,97,25,24,0,0,100,3,16,0,27,82,113,64,11,21,115
Bojongloa Kaler,68,52,19,0,29,0,0,0,0,0,21,11,4,0,26,47,41,15,0,3
Andir,128,93,15,0,382,0,0,0,0,0,3,68,15,0,11,125,25,0,0,371
Cicendo,24,384,0,6,224,5,12,0,20,5,18,32,0,22,5,11,364,0,4,224
Sukajadi,42,17,6,0,87,125,36,2,0,300,136,36,7,0,253,31,17,1,0,134
Cidadap,44,9,7,0,293,0,0,0,0,0,1,2,1,0,41,43,7,6,0,252
Bandung Wetan,8,56,43,38,393,75,72,10,0,0,22,12,7,5,6,61,116,46,33,387
Astana Anyar,110,469,10,71,413,83,84,0,177,300,104,265,4,216,178,89,288,6,32,535
Regol,61,86,0,109,335,25,0,0,0,0,19,3,0,21,26,67,83,0,88,309
Batununggal,22,43,7,0,255,125,72,10,0,0,10,25,1,0,24,137,90,16,0,231
Lengkong,95,113,34,208,463,0,2,10,60,100,8,4,1,187,45,87,111,43,81,518
Cibeunying Kidul,2,65,99,59,4,0,0,0,0,100,2,8,0,59,12,0,57,99,0,92
Bandung Kulon,41,14,8,105,345,0,0,0,0,0,5,11,4,25,65,36,3,4,80,280
Kiaracondong,112,27,8,0,113,0,0,0,0,0,2,3,0,0,27,110,24,8,0,86
Bojongloa Kidul,0,4,0,51,6,0,0,0,0,0,0,0,0,7,0,0,4,0,44,6
Cibeunying Kaler,25,0,10,0,98,0,0,0,0,0,0,0,0,0,20,25,0,10,0,78
Sumur Bandung,30,8,0,0,323,0,0,0,67,0,4,7,0,67,7,26,1,0,0,316
Antapani,52,47,11,0,49,0,0,0,0,0,1,5,0,0,3,51,42,11,0,46
Bandung Kidul,63,31,14,0,197,0,0,0,0,0,6,5,0,0,67,57,26,14,0,130
Buahbatu,61,28,20,25,70,24,0,10,100,0,6,4,9,113,10,79,24,21,12,60
Rancasari,11,18,19,0,33,0,0,0,0,0,2,3,0,0,9,9,15,19,0,24
Arcamanik,0,56,4,0,123,0,0,0,0,0,0,2,0,0,7,0,54,4,0,116
Cibiru,51,57,6,0,110,1,0,1,171,5,10,2,2,171,35,42,55,5,0,80
Ujung Berung,0,9,0,0,25,4,0,1,24,0,4,0,1,24,18,0,9,0,0,7
Gedebage,23,20,47,52,317,75,48,0,0,200,5,15,0,17,70,93,53,47,35,447
Panyileukan,37,14,16,0,12,0,0,0,50,0,0,0,0,50,2,37,14,16,0,10
Cinambo,103,39,43,155,292,100,24,0,36,0,81,3,4,50,2,122,60,39,141,290
Mandalajati,25,47,9,5,163,0,24,10,0,0,2,20,3,0,32,23,51,16,5,131
