NO,NAMA MESJID,TAHUN DIDIRIKAN,DAYA TAMPUNG JAMAAH,ALAMAT,KELURAHAN
130,Baetur Rohman,1980,80,Gg. Abah Yusuf  RT.04  RW.08,Kopo
131,Al. Muhtar,1977,80,Gg. Dalang   RT. 08  RW.08,Kopo
132,Al. Ikhlas,1987,80,Komp. Cetarip   RT. 05  RW.09,Kopo
133,Nurul  Falah,1992,80,Jl. Sukamulya   RT. 02   RW.10,Kopo
134,Al  Muttaqin,1982,200,Jl. Bbk  Ciparay  RT.01 RW.11,Kopo
135,Al Barokah,1992,250,Jl. Soekarno Hatta  RT. 01  RW.11,Kopo
136,Abnul Badwiyyah,1990,150,Jl. Madesa  RT.05  RW.11,Kopo
137,Nurul Falah,1991,100,Gg. Atakiria    RT.04   RW.11,Kopo
138,Al  Asri Pusri,1982,100,Jl. Soekarno Hatta   RT.02   RW.11,Kopo
139,Thoriqus Salam,1974,80,Jl. Bbk Ciparay  RT. 03  RW.12,Kopo
140,Ulul Al Bab,1987,80,Jl. Madesa  RT.08    RW.12,Kopo
141,Al. Hikmah,1989,80,Jl. Madesa  RT.08   RW.12,Kopo
142,Nurul Hikmah,1987,80,Jl. Madesa   RT. 02 RW.12,Kopo
