Lokasi
Jalan Cibeureum (sepanjang 2.800 meter)
Jalan Sudirman (sepanjang 1.230 meter)
Jalan Rajawali Barat (sepanjang 970 meter)
Jalan Nurtanio (sepanjang 1.200 meter)
JalanAbdul Rahman Saleh (sepanjang 1.040 meter)
Jalan Pajajaran (sepanjang 1.060 meter)
Jalan Pasirkaliki (sepanjang 710 meter)
Jalan Jalan Soekarno-Hatta(sepanjang 18.350 meter)
Jalan Gede Bage (sepanjang 458 meter)
Jalan Layang Pasupati (sepanjang 1.800 meter)
Jalan Pasteur (sepanjang 770 meter)
Jalan Surapati (sepanjang 1.800 meter)
Jalan PHH. Mustofa (sepanjang 2.372 meter)
JalanAbdulHarisNasution(sepanjangJalanRaya Sindanglaya 4.185 meter)
Jalan Abdul Haris Nasution (Jalan Raya Ujungberung) (sepanjang 2.880 meter)
JalanAbdulHarisNasution(JalanRayaCipadung) (sepanjang 1.450M) dan
Jalan Abdul Haris Nasution(Jalan Cibiru) (sepanjang 550 meter).
JalanKiayai Haji Wahid Hasyim (Jalan Kopo) (sepanjang 2.000 meter)
Jalan Mohammad Toha (sepanjang 1.490 meter)
Jalan Pajajaran (sepanjang 1.000 meter)
Jalan HOS Tjokroaminoto(Jalan Pasirkaliki) (sepanjang 340 meter)
Jalan Sukajadi (sepanjang 2.530 meter)
Jalan Setiabudi (sepanjang 4.980 meter)
Jalan Sukawangi (sepanjang 180 meter)
Jalan Terusan Buah Batu (sepanjang 990 meter)
Jalan Terusan Buah Batu 1 (sepanjang 1.270 meter)
Jalan Cicendo (sepanjang 425 meter)
Jalan Kebon Kawung (sepanjang 639 meter)
Jalan Pajajaran (sepanjang 650 meter)
Jalan Pasirkaliki (sepanjang 420 meter)
Jalan Terusan Pasirkoja (sepanjang 2.652 meter)
Jalan Peta (sepanjang 2.457 meter)
Jalan BKR (sepanjang 2.187 meter)
Jalan Pelajar Pejuang (sepanjang 1.560 meter)
Jalan Laswi (sepanjang 1.171 meter)
Jalan AhmadYani(SimpangLaswisampaidengan Simpang Supratman) (sepanjang 535 meter)
Jalan W.R. Supratman (sepanjang 1.676 meter)
Jalan Diponegoro (sepanjang 1.369 meter)
Jalan Cilamaya (sepanjang 240 meter)
Jalan Cimandiri (sepanjang 345 meter)
Jalan Depan LAN (sepanjang 125 meter)
Jalan Cilaki (sepanjang 200 meter)
Jalan Aria Jipang (sepanjang 216 meter)
Jalan Gasibu Barat (sepanjang 205 meter) dan
Jalan Sentot Alibasyah (sepanjang 202 meter).
Sekitar Alun-alun dan Mesjid Raya Bandung
Jalan Dalem Kaum
Jalan Kepatihan
Jalan Asia Afrika
Jalan Dewi Sartika
Jalan Otto Iskandardinata
Jalan Merdeka
Sekitar Rumah Dinas Gubernur Provinsi Jawa Barat 
Sekitar Rumah Dinas Ketua Dewan Perwakilan Rakyat Daerah Provinsi Jawa Barat 
Sekitar Rumah Dinas Wakil Gubernur Jawa Barat 
Sekitar Rumah Dinas Panglima Kodam III Siliwangi 
Sekitar Rumah Dinas Kepala Kepolisian Daerah Jawa Barat  
Sekitar Rumah Dinas Kepala Kejaksaan Tinggi Jawa Barat  
Sekitar Rumah Dinas Konsulat Jenderal Negara sahabat 
Sekitar Rumah Dinas Sekretaris Daerah Provinsi Jawa Barat 
Sekitar Rumah Dinas Ketua Pengadilan Tinggi Jawa Barat 
