No. Pendaftaran,,Persil/Lokasi,Izin,Kelurahan,Kecamatan,Wilayah
 01394420756021387800,"RAGAMPRINT 
",Jalan Arjuna No. 57  ,Izin Usaha Industri 2014,Arjuna,Cicendo,BOJONAGARA
 01394507081082177600,"PT. DAESE GARMIN 
",Jalan H. Ibrahim Adjie No. 90   ,Izin Usaha Industri 2014,Kebonwaru,Batununggal,KAREES
 01394509552017780400,"PT. JIMANDO PERKASA 
",Jalan Holis No. 235  ,Izin Usaha Industri 2014,Babakan,Babakan Ciparay,TEGALLEGA
 01394521156088510200,"PT. INDO POLA SANDANG INDAH 
",Jalan Halteu Selatan 7/77  ,Izin Usaha Industri 2014,Dunguscariang,Andir,BOJONAGARA
 01394614384069181700,"PT. LAKSANA KARIS INDUSTRI 
",Jalan Babakan Surabaya No. 40  ,Izin Usaha Industri 2014,Babakan Surabaya,Kiaracondong,KAREES
 01394677477049949300,"WESTON TEXTILE 
",Jalan Ters. Industri No. 7   ,Izin Usaha Industri 2014,Husein Sastra Negara,Cicendo,BOJONAGARA
 01395210163096169300,"CV. LAJU BAHTERA 
",Jalan Paralon I No. 22   ,Izin Usaha Industri 2014,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
 01395366760078564500,"CV. KARYA MITRA UTAMA 
",Jl. Soekarno Hatta - Komp. LIK Blok a-6  ,Izin Usaha Industri 2014,Mekar Mulya,Panyileukan,GEDEBAGE
 01395725626072707000,"PT. SRIKANDI DIAMOND MOTORS Cab.Bandung 
","Jalan Soekarno Hatta No. 342    	 
		  	",Izin Usaha Industri 2014,Kebonlega,Bojongloa Kidul,TEGALLEGA
 01395805502000759900,"CV.  SUN FLOWER 
",JAlan Ters. Buah BAtu No. 68,Izin Usaha Industri 2014,Batununggal,Bandung Kidul,GEDEBAGE
 01395984715053425900,"SINAR CIPTA KARYA 
",Jalan Ters. Holis/Sadang Buntu No. 17   ,Izin Usaha Industri 2014,Margasuka,Babakan Ciparay,TEGALLEGA
 01396495352098095000,"CV. SINAR MAS ABADI 
",Jalan Satria Raya II No. 20  ,Izin Usaha Industri 2014,Margahayu Utara,Babakan Ciparay,TEGALLEGA
 01397528897079838800,"PT. INNOFIN 
",Jl. Cibolerang No. 33-B/67-D   ,Izin Usaha Industri 2014,Margasuka,Babakan Ciparay,TEGALLEGA
 01398139432014390900,"CV. SANDANG SARI 
",Jalan A. H . Nasution No. 105-A  ,Izin Usaha Industri 2014,Sindangjaya,Mandalajati,UJUNGBERUNG
 01398318532008096200,"CV. SANDANG SARI 
",Jalan A. H . Nasution No. 105-A  ,Izin Usaha Industri 2014,Sindangjaya,Mandalajati,UJUNGBERUNG
 01398829906084613300,"PT. ADHIMIX PRECAST INDONESIA 
",Jl. Soekarno Hatta No. 758   ,Izin Usaha Industri 2014,Cipadung Kidul,Panyileukan,GEDEBAGE
 01399969315090342200,"PT. NEWTEL 
",Jalan Kawali V No. 28  ,Izin Usaha Industri 2014,Antapani Tengah,Antapani,UJUNGBERUNG
 01400645646080730300,"CV. ADE PLASTIC PRATAMA 
",Jl. Paralon II-7   ,Izin Usaha Industri 2014,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
 01400653475081656500,"PT. SISTEM MIKROELEKTRONIKA CERDAS CO-DESIGN 
",Komp. Surapati Core Blok F-18 PHH. Mustofa No. 39  ,Izin Usaha Industri 2014,Pasirlayung,Cibeunying Kidul,CIBEUNYING
 01400742833093345900,"PT. SOLARENS LEDINDO 
",Jl. Soekarno Hatta No. 500 Komp. MTC J-33 ,Izin Usaha Industri 2014,Sekejati,Buahbatu,GEDEBAGE
 01401681802036203000,"PT. ANEKA PRODUKSI NUSAJAYA 
",Jalan Pasir Impun No. 127  ,Izin Usaha Industri 2014,Karang Pamulang,Mandalajati,UJUNGBERUNG
 01401773204014085200,"PT. JATI MEKAR PERSADA 
",Jalan Cimuncang No.44  ,Izin Usaha Industri 2014,Padasuka,Cibeunying Kidul,CIBEUNYING
 01402024207016531200,"PT. BUSANA STAR 
",Jalan Kopo Jaya II No. 3-A  ,Izin Usaha Industri 2014,Margahayu Utara,Babakan Ciparay,TEGALLEGA
 01402387939051760300,"PT. JAYAMAS DWI PERKASA 
"," 	Jl. Ters. Kiaracondong No. 260   ",Izin Usaha Industri 2014,Margasari,Buahbatu,GEDEBAGE
 01402628472022357700,"PT. BUSANA CEMERLANG GARMENT INDUSTRI 
",Jalan Mekar Raya Kav. 26  ,Izin Usaha Industri 2014,Mekar Mulya,Panyileukan,GEDEBAGE
 01403075713064233400,"PT. PUDAK SCIENTIFIC 
",Jalan Mekar Raya No. 12  ,Izin Usaha Industri 2014,Mekar Mulya,Panyileukan,GEDEBAGE
 01403496932076396800,"PT. ROSAN LANGGENG PRIMA 
",Jl. Batu Rengat RT. 001/001  ,Izin Usaha Industri 2014,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
 01404268490028599400,"PT. SINAR RAGAMINDO UTAMA 
"," 	Jl. Rajawali Timur No. 251 ",Izin Usaha Industri 2014,Dunguscariang,Andir,BOJONAGARA
 01404792842080623600,"UD. JOCKY 
",Jl. H. Moch. Iskat No. 34 ,Izin Usaha Industri 2014,Pasirkaliki,Cicendo,BOJONAGARA
 01405492721063787600,"PT. MIMI KIDS GARMINDO 
",Jl. Sekejati No. 42 ,Izin Usaha Industri 2014,Sukapura,Kiaracondong,KAREES
 01408609012023198300,"CV. JAYA SENTOSA ABADI 
"," 	JL. SOEKARNO HATTA NO. 268 ",Izin Usaha Industri 2014,Kopo,Bojongloa Kaler,TEGALLEGA
 01408934536050860300,"DIRGAHAYU OFFSET 
"," 	Jl. Satria Raya II No. 10 ",Izin Usaha Industri 2014,Babakan Ciparay,Babakan Ciparay,TEGALLEGA
 01409195782033701000,"PT. BANDUNG MUTIARA SEWU 
",Jalan Gunung Batu No. 107   ,Izin Usaha Industri 2014,Sukaraja,Cicendo,BOJONAGARA
 01409279452040877600,"PT.BINTANG TIARA CITRA 
KOPO BIZPARK BLOK A-7 NO. 6-8 "," 	KOPO BIZPARK BLOK A-7 NO. 6-8 JL.KOPO NO. 455 D  	 
		  	",Izin Usaha Industri 2014,Cirangrang,Babakan Ciparay,TEGALLEGA
 01409641961098239800,"PT. POXIMAS MANDIRI 
"," 	JL. LEUWIPANJANG NO. 80  	 
		  	",Izin Usaha Industri 2014,Situsaeur,Bojongloa Kidul,TEGALLEGA
 01409797340072321300,"CV. RAMAYANA 
"," 	JL. EMUNG NO. 38 ",Izin Usaha Industri 2014,Burangrang,Lengkong,KAREES
 01409883183095804200,"PT. OLYMPIA 
",Jalan Cibadak No. 234,Izin Usaha Industri 2014,Cibadak,Astana Anyar,TEGALLEGA
 01409904355063557900,"CV.MITRA CEMERLANG ABADI 
"," 	JL. ISTANA PASTEUR CR-8 NO. 66-68  	 
		  	",Izin Usaha Industri 2014,Sukaraja,Cicendo,BOJONAGARA
 01410402393041366400,"SUBUR SAKTI 
",JL. ARUNA NO. 4 ,Izin Usaha Industri 2014,Arjuna,Cicendo,BOJONAGARA
 01411098115051993100,"GENERAL SHOES 
",Jl. Cigondewah Kaler RT. 003/08  ,Izin Usaha Industri 2014,Cijerah,Bandung Kulon,TEGALLEGA
 01411108664064668800,"PT. TARUMATEX 
"," 	Jl. Jend. A. Yani No. 806   ",Izin Usaha Industri 2014,Cicaheum,Kiaracondong,KAREES
 01411375214056223400,"SAPTA JAYA BORDIR 
",Jalan Cirangrang Barat RT. 01/08  ,Izin Usaha Industri 2014,Margahayu Utara,Babakan Ciparay,TEGALLEGA
 01411442518093455100,"PT. ASTRA INTERNATIONAL, TBK. / DAIHATSU 
"," 	JL. SOEKARNO HATTA NO. 438 D  	 
		  	",Izin Usaha Industri 2014,Pasirluyu,Regol,KAREES
 01411715553008998500,"PT. ANEKA PRODUKSI NUSA JAYA 
",Gg. Slamet II No. 6  ,Izin Usaha Industri 2014,Babakan Surabaya,Kiaracondong,KAREES
 01411973749010332400,"CV. SAMUDRA RAYA 
",Jl. Kopo Cirangrang Km. 6  ,Izin Usaha Industri 2014,Cirangrang,Babakan Ciparay,TEGALLEGA
 01412844202059294300,"CV. RABBANI ASYSA ( NISA ) 
",Jalan Moch. Toha No. 398  ,Izin Usaha Industri 2014,Wates,Bandung Kidul,GEDEBAGE
 01413427683035214900,"PT.SENIBUDAYA SEJAHTERA OFFSET 
"," 	Jl. Holis No. 39   ",Izin Usaha Industri 2014,Warungmuncang,Bandung Kulon,TEGALLEGA
 01413789711058632000,"BINTANG ASIA AFRIKA 
","Jalan Terusan Holis No. 12    	 
		  		
		  	",Izin Usaha Industri 2014,Margahayu Utara,Babakan Ciparay,TEGALLEGA
 01413789853073984900,"PT. MANEKINDO MULTI KREASI 
",Jalan Desa Cipadung No. 42  ,Izin Usaha Industri 2014,Cipadung,Cibiru,UJUNGBERUNG
 01415162248014982700,"CV. DIGO 
",JL. CIBOLERANG No. 203  ,Izin Usaha Industri 2014,Margasuka,Babakan Ciparay,TEGALLEGA
 01415171414058442500,"PT. ASTRA INTERNATIONAL, Tbk 
",Jalan Soekarno Hatta No. 145  ,Izin Usaha Industri 2014,Babakan Ciparay,Babakan Ciparay,TEGALLEGA
 01415263666017785500,"PT. SINAR MANDIRI PERDANA 
",Jalan Rumah Sakit No. 139-A  ,Izin Usaha Industri 2014,Mekar Mulya,Panyileukan,GEDEBAGE
 01415765131039386500,"PT. MASTERINDO JAYA ABADI 
"," 	Jalan Soekarno Hatta No. 24  	 
		  	",Izin Usaha Industri 2014,Cibuntu,Bandung Kulon,TEGALLEGA
 01416363370001412200,"CV. INDO MAKMUR MANDIRI 
"," 	Jalan Kopo Cirangrang No. 599 C    	 
		  	",Izin Usaha Industri 2014,Cirangrang,Babakan Ciparay,TEGALLEGA
 01416550310025942800,"PT. PABRIK MESIN TEHA 
",Jalan Arjuna No. 29  ,Izin Usaha Industri 2014,Ciroyom,Andir,BOJONAGARA
 01416883937047136800,"PT. GRANESIA 
"," 	JL. SEKELIMUS BARAT NO. 4-6  	 
		  	",Izin Usaha Industri 2014,Batununggal,Bandung Kidul,GEDEBAGE
 01416884491094133000,"PT. GRANESIA 
"," 	Jalan Soekarno Hatta No. 147 ",Izin Usaha Industri 2014,Babakan Ciparay,Babakan Ciparay,TEGALLEGA
 01416976931079005300,"PT. INTI PINDAD MITRA SEJATI 
",Jl. Jend. Gatot Suboto No. 517  ,Izin Usaha Industri 2014,Sukapura,Kiaracondong,KAREES
 01416977584083310700,"PT. ASTRA INTERNATIONAL, Tbk 
",Jl. Soekarno Hatta No. 751   ,Izin Usaha Industri 2014,Cimincrang,Gedebage,GEDEBAGE
 01416977638079949600,"PT. INTI PINDAD MITRA SEJATI 
",Jl. Jend. Gatot Suboto No. 517  ,Izin Usaha Industri 2014,Sukapura,Kiaracondong,KAREES
 01417671394059275100,"PT. INDOKEMAS SUKSES MAKMUR 
"," 	JL. A. YANI NO. 806  	 
		  	",Izin Usaha Industri 2014,Cicaheum,Kiaracondong,KAREES
 01418014916009793000,"PD. UNGGUL 
",Jalan  Pajagalan  No.  85     ,Izin Usaha Industri 2014,Nyengseret,Astana Anyar,TEGALLEGA
 01418890961034820700,"CV. ESPRECIELO INTERNATIONAL 
",Jalan Mengger Girang No. 5,Izin Usaha Industri 2014,Pasirluyu,Regol,KAREES
 01418972271067510400,"CV. YUTEX SURYA ABADI 
"," 	Jl. Satria Raya III No. 2    	 
		  	",Izin Usaha Industri 2014,Margahayu Utara,Babakan Ciparay,TEGALLEGA
