KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.28 . 00 . 00 . 5,BELANJA,21639446509,
1.20 . 1.20.28 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,6244129218,
1.20 . 1.20.28 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,6244129218,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.28 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,15395317291,
1.20 . 1.20.28 . 01,Program Pelayanan Administrasi Perkantoran,1105661501,
1.20 . 1.20.28 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,190840001,
1.20 . 1.20.28 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,190840001,
1.20 . 1.20.28 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,12495000,
1.20 . 1.20.28 . 01 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,12495000,
1.20 . 1.20.28 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,20600000,
1.20 . 1.20.28 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,20600000,
1.20 . 1.20.28 . 01 . 08,Penyediaan jasa kebersihan kantor,115400000,
1.20 . 1.20.28 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,115400000,
1.20 . 1.20.28 . 01 . 10,Penyediaan alat tulis kantor,50362000,
1.20 . 1.20.28 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,50362000,
1.20 . 1.20.28 . 01 . 11,Penyediaan barang cetakan dan penggandaan,39280000,
1.20 . 1.20.28 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,39280000,
1.20 . 1.20.28 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,16250000,
1.20 . 1.20.28 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,16250000,
1.20 . 1.20.28 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,310900000,
1.20 . 1.20.28 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,8000000,
1.20 . 1.20.28 . 01 . 13 . 5 . 2 . 3,Belanja Modal,302900000,
1.20 . 1.20.28 . 01 . 14,Penyediaan peralatan rumah tangga,129435500,
1.20 . 1.20.28 . 01 . 14 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.28 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,80895500,
1.20 . 1.20.28 . 01 . 14 . 5 . 2 . 3,Belanja Modal,47540000,
1.20 . 1.20.28 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,11695000,
1.20 . 1.20.28 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,11695000,
1.20 . 1.20.28 . 01 . 17,Penyediaan makanan dan minuman,35904000,
1.20 . 1.20.28 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,35904000,
1.20 . 1.20.28 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,172500000,
1.20 . 1.20.28 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,172500000,
1.20 . 1.20.28 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1602607500,
1.20 . 1.20.28 . 02 . 05,pengadaan Kendaraan dinas/operasional,50000000,
1.20 . 1.20.28 . 02 . 05 . 5 . 2 . 3,Belanja Modal,50000000,
1.20 . 1.20.28 . 02 . 11,Pengadaan Peralatan Komunikasi,60000000,
1.20 . 1.20.28 . 02 . 11 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.20 . 1.20.28 . 02 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,49000000,
1.20 . 1.20.28 . 02 . 11 . 5 . 2 . 3,Belanja Modal,10000000,
1.20 . 1.20.28 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,133000000,
1.20 . 1.20.28 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,1200000,
1.20 . 1.20.28 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,131800000,
1.20 . 1.20.28 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,391357500,
1.20 . 1.20.28 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,391357500,
1.20 . 1.20.28 . 02 . 42,Rehabilitasi sedang/berat gedung kantor,968250000,
1.20 . 1.20.28 . 02 . 42 . 5 . 2 . 3,Belanja Modal,968250000,
1.20 . 1.20.28 . 03,Program peningkatan disiplin aparatur,258330000,
1.20 . 1.20.28 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,65425000,
1.20 . 1.20.28 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,1400000,
1.20 . 1.20.28 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,64025000,
1.20 . 1.20.28 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,192905000,
1.20 . 1.20.28 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,1800000,
1.20 . 1.20.28 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,191105000,
1.20 . 1.20.28 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,163733390,
1.20 . 1.20.28 . 05 . 01,Pendidikan dan pelatihan formal,40000000,
1.20 . 1.20.28 . 05 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,40000000,
1.20 . 1.20.28 . 05 . 02,Sosialisasi peraturan perundang-undangan,43733390,
1.20 . 1.20.28 . 05 . 02 . 5 . 2 . 1,Belanja Pegawai,23500000,
1.20 . 1.20.28 . 05 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,20233390,
1.20 . 1.20.28 . 05 . 04,Pembinaan Kinerja Aparatur,80000000,
1.20 . 1.20.28 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,4400000,
1.20 . 1.20.28 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,75600000,
1.20 . 1.20.28 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,73600000,
1.20 . 1.20.28 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,57100000,
1.20 . 1.20.28 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,37300000,
1.20 . 1.20.28 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,19800000,
1.20 . 1.20.28 . 06 . 02,Penyusunan pelaporan keuangan semesteran,8500000,
1.20 . 1.20.28 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,4500000,
1.20 . 1.20.28 . 06 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,4000000,
1.20 . 1.20.28 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,8000000,
1.20 . 1.20.28 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,4000000,
1.20 . 1.20.28 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,4000000,
1.22 . 1.20.28 . 22,Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan,8361200000,
1.22 . 1.20.28 . 22 . 01,Fasilitasi Pemberdayaan lingkup RW,6861200000,
1.22 . 1.20.28 . 22 . 01 . 5 . 2 . 1,Belanja Pegawai,961200000,
1.22 . 1.20.28 . 22 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,5900000000,
1.22 . 1.20.28 . 22 . 02,Fasilitasi Pemberdayaan Lingkup PKK,,
1.22 . 1.20.28 . 22 . 02 . 5 . 2 . 1,Belanja Pegawai,500000000,
1.22 . 1.20.28 . 22 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,78000000,
