NO.,KELURAHAN,,KARTU KELUARGA,,KTP,SKTS,SK. AHLI WARIS
1.,CISARANTEUN KIDUL,,111,,127,0,4
2.,RANCABOLANG,,75,,80,0,3
3.,CIMINCRANG ,,25,,35,0,0
4.,RANCANUMPANG,,45,,53,0,1
,JUMLAH,,256,,295,0,8
