nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,7824,1763,22.53,0,0.00,0,0.00,0,0.00
Coblong,15961,2971,18.61,0,0.00,0,0.00,0,0.00
Babakan Ciparay,21663,4211,19.44,0,0.00,0,0.00,0,0.00
Bojongloa Kaler,17527,7879,44.95,7541,43.03,9061,51.70,16602,94.72
Andir,14030,3718,26.50,0,0.00,0,0.00,0,0.00
Cicendo,11697,6339,54.19,0,0.00,11210,95.84,11210,95.84
Sukajadi,16360,4916,30.05,0,0.00,0,0.00,0,0.00
Cidadap,7417,2544,34.30,2544,34.30,0,0.00,2544,34.30
Bandung Wetan,5082,1318,25.93,0,0.00,0,0.00,0,0.00
Astana Anyar,9169,4314,47.05,0,0.00,0,0.00,0,0.00
Regol,14913,4868,32.64,0,0.00,0,0.00,0,0.00
Batununggal,16350,9305,56.91,0,0.00,0,0.00,0,0.00
Lengkong,14975,5762,38.48,1979,13.22,12996,86.78,14975,100.00
Cibeunying Kidul,17394,7909,45.47,7411,42.61,9267,53.28,16678,95.88
Bandung Kulon,17259,13977,80.98,6229,36.09,7241,41.95,13470,78.05
Kiaracondong,14844,8753,58.97,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,11991,5419,45.19,2102,17.53,8972,74.82,11074,92.35
Cibeunying Kaler,9625,1991,20.69,3115,32.36,4981,51.75,8096,84.11
Sumur Bandung,5247,2164,41.24,0,0.00,0,0.00,0,0.00
Antapani,9846,1315,13.36,0,0.00,0,0.00,0,0.00
Bandung Kidul,8937,2967,33.20,2967,33.20,5970,66.80,8937,100.00
Buahbatu,11347,2138,18.84,0,0.00,0,0.00,0,0.00
Rancasari,9986,1559,15.61,1419,14.21,140,1.40,1559,15.61
Arcamanik,8482,3227,38.05,0,0.00,0,0.00,0,0.00
Cibiru,9514,3426,36.01,1292,13.58,2312,24.30,3604,37.88
Ujung Berung,17295,15095,87.28,2185,12.63,0,0.00,2185,12.63
Gedebage,8017,2753,34.34,570,7.11,5061,63.13,5631,70.24
Panyileukan,5314,1445,27.19,715,13.46,730,13.74,1445,27.19
Cinambo,4104,1497,36.48,777,18.93,1511,36.82,2288,55.75
Mandalajati,10640,2817,26.48,2817,26.48,7823,73.52,10640,100.00
