No,Nama Perusahaan,Alamat Perusahaan,Program Prioritas,Sub Program Prioritas,Uraian,Penerima,Kelurahan,Kecamatan
1,RS HERMINA ARCAMANIK,Jl. AH Nasution,Bidang Kesehatan,Penyuluhan,Pemberian Makanan Tambahan,Posyandu RW. 08,Antapani Wetan,Antapani
2,YOMART,Jl. AH Nasution,Bidang Kesehatan,Penyuluhan,Pemberian Makanan Tambahan,Posyandu RW. 10,Antapani Wetan,Antapani
3,KIMIA FARMA,Jl. Purwakarta,Bidang Kesehatan,Penyuluhan,Pemberian Makanan Tambahan,Posyandu RW 03,Antapani Tengah,Antapani
4,ATFG,Jl. Purwakarta,Bidang Kesehatan,Penyuluhan,Pengobatan Cuma Cuma,Warga Antapani,Antapani Tengah,Antapani
5,GRIYA ANTAPANI,JL.Purwakarta,Bidang Sosial,Sosial,Olahraga Bersama Dan Partisipasa dalam setiap kegiatan PKK ,PKK Kelurahan,Antapani Kidul,Antapani
6,KOPRASI AL-HUDA,JL. Kadipaten 55,Bidang Sosial,Sosial,Pemberian Sembako Warga Kurang Mampu,Warga ,Antapani Kidul,Antapani
7,LABORATORIUM PRODIA,Jl. AH Nasution,Bidang Sosial,Penyuluhan,Bantuan Pengobatan Penderita Thalasemia,Warga ,Antapani Wetan,Antapani
