nama_pasar,jml_toko_buka,jml_kios_buka,jml_meja_buka,jml_toko_tutup,jml_kios_tutup,jml_meja_tutup,jml_pedagang_toko,jml_pedagang_kios,jml_pedagang_meja,latitude,longitude
Andir,14,2155,266,0,29,0,14,2184,266,-6.918088,107.59049
Anyar,20,563,359,29,151,253,49,714,612,-6.930486,107.600921
Balubur,0,1501,28,0,81,0,0,1582,28,-6.898685,107.608578
Banceuy,0,237,0,0,0,0,0,237,0,-6.916,107.606254
Baru,0,3519,602,0,505,87,0,4024,689,-6.917394,107.603881
Buah Batu,0,0,0,0,0,0,0,0,0,-6.954305,107.637119
Cicadas,0,335,456,0,579,468,0,914,924,-6.91144,107.644
Cicaheum,0,209,118,0,125,114,0,334,232,-6.903108,107.656912
Cihapit,0,78,21,0,54,23,0,132,44,-6.908481,107.622558
Cihaurgeulis,0,236,180,0,80,37,0,316,217,-6.899349,107.627375
Cijerah,0,142,196,0,31,20,0,173,216,-6.925694,107.587631
Cikapundung,0,326,0,0,19,0,0,345,0,-6.919329,107.60862
Cikaso,0,81,21,0,41,16,0,122,37,-6.908381,107.635144
Ciroyom,0,181,790,0,484,33,0,665,823,-6.914413,107.587511
Ciwastra,0,159,163,0,60,82,0,219,245,-6.961206,107.666589
Dago,0,0,0,0,0,0,0,0,0,-6.884896,107.611996
Gang Saleh,0,25,19,0,13,11,0,38,30,-6.911875,107.596284
Gede Bage,0,1088,0,0,0,0,0,1088,0,-6.9362,107.698228
Gegerkalong,0,136,95,0,56,17,0,192,112,-6.867129,107.591222
Gempol,0,31,1,0,10,3,0,41,4,-6.90304,107.615539
Jatayu,0,330,0,0,43,3,0,373,3,-6.911105,107.588233
Karapitan,0,157,219,0,166,116,0,323,335,-6.932388,107.61532
Kebon Sirih,0,28,0,0,15,0,0,43,0,-6.910806,107.607869
Kiaracondong,0,266,210,0,311,271,0,577,481,-6.926151,107.645114
Kosambi,0,336,257,0,644,141,0,980,398,-6.919613,107.621998
Kota Kembang,0,121,0,0,26,0,0,147,0,-6.921828,107.605009
Leuwipanjang,0,209,87,0,180,87,0,389,174,-6.938679,107.59714
M. Toha / ITC 1,0,332,27,0,168,53,0,500,80,-6.928021,107.606846
Pagarsih,0,120,18,0,281,50,0,401,68,-6.922673,107.596004
Palasari,65,417,39,8,231,26,73,648,65,-6.932142,107.622322
Pamoyanan,0,164,11,0,70,0,0,234,11,-6.903477,107.596234
Puyuh,0,53,0,0,5,0,0,58,0,-6.89651,107.623452
Sadang Serang,0,302,51,0,58,5,0,360,56,-6.892015,107.625088
Saeuran,0,0,0,0,0,0,0,0,0,-6.930935,107.64035
Sarijadi,0,140,38,0,0,0,0,140,38,-6.874974,107.576032
Sederhana,0,551,425,0,207,337,0,758,762,-6.89037,107.599302
Simpang,0,99,16,0,3,2,0,102,18,-6.884639,107.614019
Sukahaji,0,60,0,0,65,5,0,125,5,-6.928004,107.585915
Ujungberung,25,406,184,0,19,88,25,425,272,-6.9138,107.702263
Wastukencana,0,78,0,0,0,0,0,78,0,-6.904669,107.607331
