Tanggal,Waktu,Kegiatan_PAM,Tempat_Lokasi,Nama_Pemohon,KET
2015-01-03,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-04,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-10,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-11,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-17,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-18,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-18,06:00-14:00+0700,National Osteoporosis Day Bersama Anline,Lapangan Tegallega Bandung,Divas Management,1 Unit
2015-01-23,18:00-22:00+0700,Penerimaan dan Pelantikan Perhimpunan Mahasiswa Bandung,Lapangan Gasibu Bandung,Panitia PMB (Perhimpunan Mahasiswa Bandung),1 Unit
2015-01-24,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-24,24:00-08:00+0700,Perayaan HUT Bank BNP,Gedung SABUGA ITB Bandung,Panitia HUT BNP,1 Unit
2015-01-25,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-01-31,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-01,08:00-12;00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-07,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-08,08:00-12;00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-13,14:02-22:00+0700,Friday Give,Dago Tea House,Droplet Indonesia,1 Unit
2015-02-14,14:02-22:00+0700,The 9s Festival,Venue Concert Hall Eldorado,The 9s Festival,1 Unit
2015-02-14,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-15,08:00-12;00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-18,17:00-22:00+0700,Konser Musik Noah Bandung Love Story,Trans Studio Bandung,PT.RHT Sauyunan,1 Unit
2015-02-21,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-22,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-02-22,08:00-22:00+0700,Oz Music Galore Ultah Radio Oz ke 43 Tahun,Gedung SABUGA ITB,PT. Radio Mitragamma Swara,1 Unit
2015-02-26,07:00-09:00+0700,Pembersihan & Penyemprotan Seputar Pasar Simpang Dago,Pasar Simpang Dago,Kecamatan Coblong,1 Unit
2015-02-28,07:00-09:00+0700,Pembersihan & Penyemprotan Seputar Pasar Simpang Dago,Pasar Monju Monumen perjuangan,Kecamatan Coblong,1 Unit
2015-02-28,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-01,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-03,07:00-10:00+0700,Apel Gelar Pasukan Peringatan Hari Jadi SAT POLPP ke 65 dan Sat.Lin Mas ke 53 Tingkat Nasional,Lapangan Gasibu ,SAT POL PP Provinsi,1 Unit
2015-03-06,21:00-24:00+0700,Pembersihan dan Penyemprotan Basement Mesjid Raya Bandung,Basement Alun Alun Mesjid Raya Bandung,Kecamatan Regol,2 Unit
2015-03-08,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-08,09:00-16:00+0700,D'BABARAYAAN,Balaikota Bandung,BBMC Indonesia,1 Unit
2015-03-10,10:00-12:00+0700,Pembersihan dan Penyemprotan Balaikota Bandung,Balaikota Bandung Jl Wastukencana,SEKDA,2 Unit
2015-03-15,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-19,12:14-14:00+0700,Penutupan Diklat SSG Pesantren Daarut Tauhid,Pesantren Daarut Tauhid,SSG Daarut Tauhid,1 Unit
2015-03-22,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-22,06:00-12:00+0700,Run Colour Festival 2015,Lapangan PPI Pusenif Jl Katamso,Halo Cities Digital Media,1 Unit
2015-03-22,06:00-12:00+0700,Sosialisasi Bandung Sehat,Balkot Bandung,PT Radio Tiara Rase,1 Unit
2015-03-22,06:00-12:00+0700,Kerja Bakti Massal dan Penataan Lingkungan,Sepanjang Jalan Sukabumi,Kecamatan Batununggal,1 Unit
2015-03-24,07:00+0700-selesai,Upacara Peringatan BLA ke 96 dan Pawai Obor,Lapangan Tegallega  dan Balaikota,SEKDA,3 Unit
2015-03-28,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-29,04:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit
2015-03-29,10:00-16:00+0700,DUMSDAY,Lapangan PPI Jl Katamso,Panitia DUMSDAY,1 Unit
2015-04-01,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Depan Gedung Merdeka Jl Cikapundung Timur dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-05,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-04-11,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Jl Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-11,19:00+0700-selesai,Arcamanik Culinary Night,Sepanjang Jl Arcamanik,Kecamatan Arcamanik,1 Unit
2015-04-12,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-04-13,09:00+0700-selesai,Kunjungan Wakil Presiden RI,Jl R E Martadinata,KODAM III Siliwangi,1 Unit
2015-04-14,21:00+700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Jl  Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-15,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Jl  Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-16,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Jl  Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-16,08:00-0700-selesai,Kunjungan Presiden RI,"Jl Dalem Kaum, Jalan Cikapundung,Gedung Pakuan dan Jl Asia Afrika",KODAM III Siliwangi,4 Unit
2015-04-19,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-04-19,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Jl  Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-20,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,Jl  Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-22,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan  Trotoar dan Taman,"Jl Asia Afrika, Braga Jl Cikapundung,Taman Mesjid Raya Jl Pasteur Jl Cicendo Plaza Balai Kota Bandung",Instruksi Walikota,8 Unit
2015-04-23,06:00+0700-selesai,Peringatan Konferensi Asia Afrika (KAA),Jl Dalem Kaum Jalan Cikapundung Jalan Asia Afrika dan Gedung Pakuan,Instruksi Walikota,5 Unit
2015-04-23,08;00+0700-selesai,Harmoni Angklung For The Word,Stadion Siliwangi,Panitia Penyelenggara Angklung For The Word,1 Unit
2015-04-24,08:00+0700-selesai,Peringatan Konferensi Asia Afrika (KAA),"Jl Dalem Kaum Jalan Cikapundung Jalan Asia Afrika dan Gedung Pakuan Jl Elang Plaza Balaikota,Tegallega",KODAM III Siliwangi,9 Unit
2015-04-25,09:00+0700-selesai,Parade Kostum dalam rangka Peringatan Konferensi Asia Afrika (KAA),Jl  Asia Afrika,Instruksi Walikota,1 Unit
2015-04-26,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-04-26,09:00+0700-selesai,Festival Of Nation dalam rangka Peringatan Konferensi Asia ,Jl  Asia Afrika,Instruksi Walikota,1 Unit
2015-04-27,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan Trotoar dan Taman,Jl  Asia Afrika Jl Braga Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-28,21:00+0700-selesai,Pembersihan dan penyemprotan Jalan Trotoar dan Taman,Jl  Asia Afrika Jl Braga Taman Mesjid Raya,Instruksi Walikota,2 Unit
2015-04-01,10:00+0700-selesai,Peringatan MAY DAY,Depan Gedung Sate,Polrestabes Bandung,1 Unit
2015-05-01,14:00+0700-selesai,Penyiraman & Pembersihan jalan dan trotoar,Sepanjang Jalan Braga Monumen Perjuangan,Instruksi Walikota,1 Unit
2015-05-02,09:00+0700-selesai,Bandung Solidarity,Plaza Balaikota,Atap Promotion,1 Unit
2015-05-03,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-05-07,10:00+0700-selesai,Pembersihan Panser,Kodam III Siliwangi Jl Salak,Kodam III Siliwangi Kompi Kavaleri,1 Unit
2015-05-08,16:00+0700-selesai,Pasar Malam Kampus XII,Lapangan PPI Jl Supratman,Panitia Pelaksana Pasar Malam III,1 Unit
2015-05-09,24:00+0700Selesai,Pembersihan Penyemprotan Jalan dan Trotoar,Jl  Braga dan Taman alun-alun,Instruksi Walikota,2 Unit
2015-05-10,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-05-16,20:00+0700-selesai,Car Free Day dan CFN,Jalan Asia Afrika dan Depan Pendopo,Panitia Pelaksana Car Free Day dan CFN,1 Unit
2015-05-17,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-05-17,08:00+0700-selesai,Car Free Day dan CFN,Jalan Asia Afrika dan Depan Pendopo,Panitia Pelaksana Car Free Day dan CFN,1 Unit
2015-05-19,09:00-08:00+0700,Pembersihan & Penyemprotan Pasca Banjir Polsek Sukajadi,Polsek Sukajadi Jl Sukajadi,Mapolres Sukajadi,1 Unit
2015-05-24,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SATPOL PP,1 Unit
2015-05-25,09:00+0700-selesai,Musik Dahsyat dan Launching Preman Pensiun 2,Monumen Perjuangan,Panitia Pelaksana,1 Unit
2015-05-28,20:00+0700-selesai,Pembersihan saluran air/restorasi,Cikapayang Jl Merdeka /Balkot,Instruksi Walikota,2 Unit
