NO,MATA PENCAHARIAN,LAKI-LAKI,PEREMPUAN,JUMLAH
1,Pegawai Negeri Sipil,63,13,76
2,TNI / POLRI,11,0,11
3,Pegawai Swasta,875,741,1616
4,Tani,52,4,56
5,Dagang,656,373,1029
6,Pelajar,517,607,1124
7,Mahasiswa,91,45,136
8,Pensiunan,35,14,49
9,Lain-lain,2169,2585,4754
,JUMLAH,4469,4382,8851
