indikator,kecamatan,kelurahan_desa,berusaha_sendiri,buruh_tidak_tetap_tidak_dibayar,buruh_tetap_dibayar,buruh__karyawan_pegawai_swasta,pns__tni_bumd__legislatif,pekerja_bebaspertanian,pekerja_bebasnon_pertanian,pekerja_keluargatidak_dibayar,total_krt
"Status Kedudukan",CIBIRU,CISURUPAN,171,3,4,244,0,10,191,5,891
"Status Kedudukan",PANYILEUKAN,"MEKAR MULYA",21,6,11,50,0,0,0,0,109
"Status Kedudukan",PANYILEUKAN,"CIPADUNG KIDUL",61,0,0,103,0,0,0,0,175
"Status Kedudukan",PANYILEUKAN,"CIPADUNG WETAN",42,1,1,203,0,9,2,1,348
"Status Kedudukan",PANYILEUKAN,"CIPADUNG KULON",195,0,0,315,0,1,0,0,653
"Status Kedudukan","UJUNG BERUNG",PASANGGRAHAN,200,7,5,437,1,36,174,3,1286
"Status Kedudukan","UJUNG BERUNG",PASIRJATI,198,13,2,127,3,17,289,1,1104
"Status Kedudukan","UJUNG BERUNG","PASIR WANGI",228,14,2,246,2,30,325,18,1143
"Status Kedudukan","UJUNG BERUNG",CIGENDING,169,27,2,302,0,4,43,1,914
"Status Kedudukan","UJUNG BERUNG","PASIR ENDAH",48,9,5,162,0,0,32,15,366
"Status Kedudukan",CINAMBO,"CISARANTEN WETAN",99,0,1,55,0,9,83,0,325
"Status Kedudukan",CINAMBO,"BABAKAN PENGHULU",100,0,9,62,0,34,73,0,414
"Status Kedudukan",CINAMBO,PAKEMITAN,50,0,0,49,0,4,39,0,191
"Status Kedudukan",CINAMBO,SUKAMULYA,88,1,0,136,0,2,18,0,360
"Status Kedudukan",ARCAMANIK,"CISARANTEN KULON",109,1,2,485,2,10,133,11,1061
"Status Kedudukan",ARCAMANIK,"CISARANTEN BINA HARAPAN",179,2,1,373,2,2,90,0,926
"Status Kedudukan",ARCAMANIK,SUKAMISKIN,86,1,4,178,0,2,213,11,697
"Status Kedudukan",ARCAMANIK,"CISARANTEN ENDAH",61,3,0,96,0,12,341,0,831
"Status Kedudukan",ANTAPANI,"ANTAPANI KIDUL",39,1,1,76,0,0,6,5,307
"Status Kedudukan",ANTAPANI,"ANTAPANI TENGAH",106,5,2,144,0,1,314,4,749
"Status Kedudukan",ANTAPANI,"ANTAPANI WETAN",241,0,9,86,0,1,200,0,761
"Status Kedudukan",ANTAPANI,"ANTAPANI KULON",14,0,0,242,0,0,5,9,483
"Status Kedudukan",MANDALAJATI,JATIHANDAP,267,0,2,131,1,0,371,0,1276
"Status Kedudukan",MANDALAJATI,"KARANG PAMULANG",254,0,0,368,4,0,162,0,1105
"Status Kedudukan",MANDALAJATI,"SINDANG JAYA",117,1,1,249,1,0,4,1,561
"Status Kedudukan",MANDALAJATI,"PASIR IMPUN",140,1,1,71,0,2,35,0,396
"Status Kedudukan",KIARACONDONG,"KEBON KANGKUNG",86,1,0,274,2,0,125,8,768
"Status Kedudukan",KIARACONDONG,SUKAPURA,305,4,0,611,2,0,378,2,1792
"Status Kedudukan",KIARACONDONG,"KEBUN JAYANTI",142,8,1,176,0,1,269,2,904
"Status Kedudukan",KIARACONDONG,"BABAKAN SARI",336,6,3,721,6,1,84,2,1634
"Status Kedudukan",KIARACONDONG,"BABAKAN SURABAYA",134,1,19,289,0,1,200,24,1039
"Status Kedudukan",KIARACONDONG,CICAHEUM,113,0,1,178,1,5,319,1,905
"Status Kedudukan",BATUNUNGGAL,GUMURUH,105,18,0,346,1,1,106,5,823
"Status Kedudukan",BATUNUNGGAL,BINONG,156,10,0,422,0,7,151,1,1019
"Status Kedudukan",BATUNUNGGAL,"KEBON GEDANG",93,7,8,126,0,1,43,0,586
"Status Kedudukan",BATUNUNGGAL,MALEER,200,4,6,658,0,0,85,37,1423
"Status Kedudukan",BATUNUNGGAL,CIBANGKONG,189,3,1,228,0,1,230,7,1020
"Status Kedudukan",BATUNUNGGAL,SAMOJA,214,12,8,260,1,1,220,2,1019
"Status Kedudukan",BATUNUNGGAL,KACAPIRING,39,1,11,155,1,0,35,0,456
"Status Kedudukan",BATUNUNGGAL,"KEBON WARU",213,4,2,270,0,0,15,3,841
"Status Kedudukan","SUMUR BANDUNG",BRAGA,18,0,0,97,0,0,6,0,189
"Status Kedudukan","SUMUR BANDUNG","KEBON PISANG",89,6,0,62,0,0,30,0,296
"Status Kedudukan","SUMUR BANDUNG",MERDEKA,6,6,1,3,1,1,17,2,53
"Status Kedudukan","SUMUR BANDUNG","BABAKAN CIAMIS",36,6,0,41,0,0,37,0,181
"Status Kedudukan",ANDIR,CAMPAKA,116,0,0,323,0,0,85,1,866
"Status Kedudukan",ANDIR,MALEBER,109,7,3,183,1,0,212,0,732
"Status Kedudukan",ANDIR,GARUDA,84,0,0,174,2,0,40,2,506
"Status Kedudukan",ANDIR,"DUNGUS CARIANG",156,0,1,209,0,3,246,0,784
"Status Kedudukan",ANDIR,CIROYOM,291,65,3,228,1,0,231,1,1109
"Status Kedudukan",ANDIR,"KEBON JERUK",139,3,10,138,0,0,38,7,518
"Status Kedudukan",CICENDO,ARJUNA,5,1,0,98,0,0,8,1,204
"Status Kedudukan",CICENDO,PASIRKALIKI,36,3,0,168,0,0,6,0,300
"Status Kedudukan",CICENDO,PAMOYANAN,6,2,0,45,0,2,9,0,182
"Status Kedudukan",CICENDO,PAJAJARAN,169,30,3,340,2,2,89,21,1175
"Status Kedudukan",CICENDO,"HUSEN SASTRANEGARA",112,2,0,380,0,0,6,0,859
"Status Kedudukan",CICENDO,SUKARAJA,69,9,23,199,0,17,150,1,815
"Status Kedudukan","BANDUNG WETAN","TAMAN SARI",177,2,23,192,0,0,127,1,786
"Status Kedudukan","BANDUNG WETAN",CITARUM,8,0,0,13,0,0,1,0,25
"Status Kedudukan","BANDUNG WETAN",CIHAPIT,7,0,0,14,0,0,10,0,34
"Status Kedudukan","CIBEUNYING KIDUL",SUKAMAJU,52,1,0,131,0,2,18,14,421
"Status Kedudukan","CIBEUNYING KIDUL",CICADAS,85,1,2,218,0,0,59,6,587
"Status Kedudukan","CIBEUNYING KIDUL",CIKUTRA,161,1,0,309,3,0,169,18,1025
"Status Kedudukan","CIBEUNYING KIDUL",PADASUKA,138,2,1,162,1,0,61,12,918
"Status Kedudukan","CIBEUNYING KIDUL",PASIRLAYUNG,78,4,0,354,1,1,136,6,1066
"Status Kedudukan","CIBEUNYING KIDUL",SUKAPADA,84,0,0,276,1,0,157,1,1244
"Status Kedudukan","CIBEUNYING KALER",CIHAURGEULIS,33,0,3,113,0,0,159,2,482
"Status Kedudukan","CIBEUNYING KALER",SUKALUYU,97,4,1,85,1,1,71,1,497
"Status Kedudukan","CIBEUNYING KALER",NEGLASARI,27,4,0,93,0,0,167,0,386
"Status Kedudukan","CIBEUNYING KALER",CIGADUNG,137,2,0,252,0,0,306,4,1057
"Status Kedudukan",COBLONG,CIPAGANTI,108,18,0,231,0,0,145,0,694
"Status Kedudukan",COBLONG,"LEBAK SILIWANGI",13,0,0,88,1,0,54,1,269
"Status Kedudukan",COBLONG,"LEBAK GEDE",54,6,0,79,0,0,114,6,381
"Status Kedudukan",COBLONG,"SADANG SERANG",178,10,5,392,3,0,243,6,1139
"Status Kedudukan",COBLONG,SEKELOA,141,2,0,329,1,1,168,15,1006
"Status Kedudukan",COBLONG,DAGO,118,2,1,304,0,3,289,4,1317
"Status Kedudukan",SUKAJADI,SUKAWARNA,31,2,0,138,0,0,73,0,392
"Status Kedudukan",SUKAJADI,SUKAGALIH,72,4,3,484,1,0,81,0,1012
"Status Kedudukan",SUKAJADI,SUKABUNGAH,168,14,1,353,2,0,294,2,1322
"Status Kedudukan",SUKAJADI,CIPEDES,180,10,1,335,1,2,228,2,1337
"Status Kedudukan",SUKAJADI,PASTEUR,80,1,2,134,1,1,90,0,759
"Status Kedudukan",SUKASARI,SARIJADI,53,12,0,230,0,0,4,1,534
"Status Kedudukan",SUKASARI,SUKARASA,51,11,1,243,0,0,6,1,426
"Status Kedudukan",SUKASARI,GEGERKALONG,89,3,0,305,0,0,0,0,600
"Status Kedudukan",SUKASARI,ISOLA,73,1,0,194,0,0,0,1,379
"Status Kedudukan",CIDADAP,HEGARMANAH,51,2,7,183,0,6,78,6,569
"Status Kedudukan",CIDADAP,CIUMBULEUIT,53,0,1,252,1,3,119,0,765
"Status Kedudukan",CIDADAP,LEDENG,19,2,5,113,0,4,30,1,268
