nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,42,272,60,180,475,75,26,0,210,0,2,18,3,145,81,115,280,57,245,394
Coblong,85,133,22,219,462,50,72,0,180,100,23,3,4,200,29,112,202,18,199,533
Babakan Ciparay,81,193,24,123,215,0,0,0,0,0,20,3,0,42,26,61,190,24,81,189
Bojongloa Kaler,95,115,32,0,147,60,24,7,200,0,80,106,31,191,50,75,33,8,9,97
Andir,116,123,19,21,238,25,0,0,20,0,16,9,2,40,13,125,114,17,1,225
Cicendo,37,310,0,104,258,0,12,0,80,0,17,27,0,52,6,20,295,0,132,252
Sukajadi,27,97,20,90,220,175,60,50,495,300,114,50,29,424,275,88,107,41,161,245
Cidadap,144,130,29,113,586,0,0,0,0,0,1,1,1,27,62,143,129,28,86,524
Bandung Wetan,60,277,48,84,491,0,0,0,20,0,12,50,0,18,12,48,227,48,86,479
Astana Anyar,136,281,10,250,461,146,48,11,200,150,84,12,3,216,59,198,317,18,234,552
Regol,104,234,20,143,320,50,72,0,240,108,27,60,1,103,35,127,246,19,280,393
Batununggal,43,182,22,161,252,50,24,0,280,100,37,19,3,246,51,56,187,19,195,301
Lengkong,129,271,46,310,378,0,47,0,180,100,15,7,1,248,79,114,311,45,242,399
Cibeunying Kidul,45,88,10,79,187,0,24,0,60,0,26,64,0,81,149,19,48,10,58,38
Bandung Kulon,31,117,10,64,447,0,48,0,100,0,2,45,2,124,66,29,120,8,40,381
Kiaracondong,79,123,21,58,156,0,48,0,80,0,8,37,1,66,45,71,134,20,72,111
Bojongloa Kidul,22,28,0,121,100,0,0,0,0,0,6,0,0,8,12,16,28,0,113,88
Cibeunying Kaler,48,14,20,30,38,0,0,0,0,0,0,0,0,18,15,48,14,20,12,23
Sumur Bandung,48,66,0,52,475,0,0,10,118,0,6,6,10,98,25,42,60,0,72,450
Antapani,78,138,11,62,312,0,72,0,120,100,2,29,0,116,73,76,181,11,66,339
Bandung Kidul,122,239,15,58,492,0,72,0,60,300,4,22,1,77,121,118,289,14,41,671
Buahbatu,59,52,25,30,192,25,36,0,200,100,5,14,1,140,31,79,74,24,90,261
Rancasari,35,84,19,0,298,0,48,0,80,0,10,11,0,80,38,25,121,19,0,260
Arcamanik,103,86,12,129,107,50,24,0,40,0,8,6,4,54,23,145,104,8,115,84
Cibiru,117,255,17,128,470,0,48,15,240,100,22,60,2,221,256,95,243,30,147,314
Ujung Berung,0,45,0,46,0,0,0,0,0,0,0,0,0,0,0,0,45,0,46,0
Gedebage,58,88,30,100,334,0,24,0,40,0,34,0,20,60,81,24,112,10,80,253
Panyileukan,41,45,7,188,181,0,24,0,40,100,2,43,0,68,1,39,26,7,160,280
Cinambo,164,193,36,200,355,100,0,0,38,0,86,0,0,52,14,178,193,36,186,341
Mandalajati,106,200,8,73,398,0,26,0,160,114,2,25,0,152,112,104,201,8,81,400
