BULAN,PENDUDUK PINDAH DATANG,PENDUDUK PENGIKUT PINDAH DATANG
Januari,1084,730
Februari,884,448
Maret,983,531
April,1141,519
Mei,1048,579
Juni,899,443
Juli,1140,960
Agustus,698,306
September,1286,989
Oktober,1208,895
November,1126,425
Desember,954,578
