RUAS JALAN,KELURAHAN,KECAMATAN,WILAYAH,JUMLAH
Jl. dagoasri1,Dago,Coblong,Cibeunying,10
Jl. dagoasri3,Dago,Coblong,Cibeunying,9
Jl. dagoasri4,Dago,Coblong,Cibeunying,13
Jl. dagoasri5,Dago,Coblong,Cibeunying,9
Jl. dagoasriraya,Dago,Coblong,Cibeunying,11
Jl. dagoelos3-cb,Dago,Coblong,Cibeunying,1
Jl. dagoelos4-cb,Dago,Coblong,Cibeunying,2
Jl. imperial1,Dago,Coblong,Cibeunying,2
Jl. kanayakan-cb,Dago,Coblong,Cibeunying,7
Jl. kidang pananjung-cb,Dago,Coblong,Cibeunying,2
Jl. komp pengairan,Dago,Coblong,Cibeunying,1
Jl. tmn bukitdago,Dago,Coblong,Cibeunying,4
Jl. Bagusrangin,Lebak Gede,Coblong,Cibeunying,1
Jl. Dipatiukur,Lebak Gede,Coblong,Cibeunying,38
Jl. H Hasan,Lebak Gede,Coblong,Cibeunying,3
Jl. H Wasid,Lebak Gede,Coblong,Cibeunying,2
Jl. Hasanudin,Lebak Gede,Coblong,Cibeunying,13
Jl. Haur Pancuh,Lebak Gede,Coblong,Cibeunying,1
Jl. Imam Bonjol,Lebak Gede,Coblong,Cibeunying,14
Jl. Pager Gunung,Lebak Gede,Coblong,Cibeunying,2
Jl. Panatayuda,Lebak Gede,Coblong,Cibeunying,3
Jl. Raden Patah,Lebak Gede,Coblong,Cibeunying,10
Jl. Sekeloa,Lebak Gede,Coblong,Cibeunying,13
Jl. Tengku Angkasa,Lebak Gede,Coblong,Cibeunying,9
Jl. Tengku Umar,Lebak Gede,Coblong,Cibeunying,11
Jl. Teuku Angkasa,Lebak Gede,Coblong,Cibeunying,8
Jl. Tubagus Ismail,Lebak Gede,Coblong,Cibeunying,17
Jl. Wirayuda Barat,Lebak Gede,Coblong,Cibeunying,9
Jl. Wirayuda Timur Japati,Lebak Gede,Coblong,Cibeunying,7
Jl. kyai gd utama,Lebak Gede,Coblong,Cibeunying,4
Jl. kyailuhur,Lebak Gede,Coblong,Cibeunying,1
Jl. multatuli,Lebak Gede,Coblong,Cibeunying,3
Jl. sekeloaselatan1,Lebak Gede,Coblong,Cibeunying,17
Jl. sekeloaselatan2,Lebak Gede,Coblong,Cibeunying,14
Jl. singaperbangsa-cb,Lebak Gede,Coblong,Cibeunying,4
Jl. suryakencana,Lebak Gede,Coblong,Cibeunying,10
Jl. tubagusismail dlm-cb,Lebak Gede,Coblong,Cibeunying,1
Jl. Ciung,Sadang Serang,Coblong,Cibeunying,1
Jl. Intan,Sadang Serang,Coblong,Cibeunying,7
Jl. Sadang Serang,Sadang Serang,Coblong,Cibeunying,3
Jl. Sadang Tengah Raya,Sadang Serang,Coblong,Cibeunying,8
Jl. Titiran,Sadang Serang,Coblong,Cibeunying,15
Jl. Komp Alamanda,Sekeloa,Coblong,Cibeunying,4
Jl. Komp Alamanda I,Sekeloa,Coblong,Cibeunying,8
Jl. Komp Alamanda Raya,Sekeloa,Coblong,Cibeunying,22
Jl. Sadang Luhur,Sekeloa,Coblong,Cibeunying,4
Jl. Tubagus Ismail VIII,Sekeloa,Coblong,Cibeunying,24
Jl. Tubagus Ismail VIII Atas,Sekeloa,Coblong,Cibeunying,34
Jl. Tubagus Ismail XIII,Sekeloa,Coblong,Cibeunying,24
Jl. Tubagus Ismail XIV,Sekeloa,Coblong,Cibeunying,20
Jl. ciheulang-cb,Sekeloa,Coblong,Cibeunying,1
Jl. ciheulang2-cb,Sekeloa,Coblong,Cibeunying,1
Jl. ciheulangbaru-cb,Sekeloa,Coblong,Cibeunying,1
Jl. sekeloautara1-cb,Sekeloa,Coblong,Cibeunying,14
Jl. tubagusismail dlm2,Sekeloa,Coblong,Cibeunying,1
Jl. Adi Flora Raya,Cisaranteun Kidul,Gedebage,Gedebage,72
Jl. Cemara A,Cisaranteun Kidul,Gedebage,Gedebage,4
Jl. Cemara B,Cisaranteun Kidul,Gedebage,Gedebage,4
Jl. Cemara C,Cisaranteun Kidul,Gedebage,Gedebage,2
Jl. Cemara D,Cisaranteun Kidul,Gedebage,Gedebage,3
Jl. Cemara E,Cisaranteun Kidul,Gedebage,Gedebage,2
Jl. Cemara F,Cisaranteun Kidul,Gedebage,Gedebage,3
Jl. Cemara G,Cisaranteun Kidul,Gedebage,Gedebage,5
Jl. Cemara H,Cisaranteun Kidul,Gedebage,Gedebage,4
Jl. Cemara Raya,Cisaranteun Kidul,Gedebage,Gedebage,6
Jl. Cimincrang,Cisaranteun Kidul,Gedebage,Gedebage,32
Jl. Flora Raya,Cisaranteun Kidul,Gedebage,Gedebage,4
Jl. Gedebage,Cisaranteun Kidul,Gedebage,Gedebage,26
Jl. Inter Raya,Cisaranteun Kidul,Gedebage,Gedebage,2
Jl. Pinus I,Cisaranteun Kidul,Gedebage,Gedebage,3
Jl. Pinus II,Cisaranteun Kidul,Gedebage,Gedebage,10
Jl. Pinus III,Cisaranteun Kidul,Gedebage,Gedebage,14
Jl. Pinus IV,Cisaranteun Kidul,Gedebage,Gedebage,7
Jl. Pinus IX,Cisaranteun Kidul,Gedebage,Gedebage,8
Jl. Pinus Raya,Cisaranteun Kidul,Gedebage,Gedebage,4
Jl. Pinus V,Cisaranteun Kidul,Gedebage,Gedebage,3
Jl. Pinus VI,Cisaranteun Kidul,Gedebage,Gedebage,10
Jl. Pinus VII,Cisaranteun Kidul,Gedebage,Gedebage,14
Jl. Pinus VIII,Cisaranteun Kidul,Gedebage,Gedebage,19
Jl. Pinus X,Cisaranteun Kidul,Gedebage,Gedebage,5
Jl. Riung Gede Permai,Cisaranteun Kidul,Gedebage,Gedebage,14
Jl. Riung Hegar,Cisaranteun Kidul,Gedebage,Gedebage,14
Jl. Riung Purna VII,Cisaranteun Kidul,Gedebage,Gedebage,2
Jl. Saluyu Raya,Cisaranteun Kidul,Gedebage,Gedebage,6
Jl. Abu Bakar Sidik,Cisaranteun Mekar Mulya,Gedebage,Gedebage,10
Jl. Ali bin abi thalib,Cisaranteun Mekar Mulya,Gedebage,Gedebage,7
Jl. Amar bin yasir,Cisaranteun Mekar Mulya,Gedebage,Gedebage,2
Jl. Cmpk arum blok K,Cisaranteun Mekar Mulya,Gedebage,Gedebage,1
Jl. Gria Cempaka Arum,Cisaranteun Mekar Mulya,Gedebage,Gedebage,16
Jl. Perum perhutani jabar,Cisaranteun Mekar Mulya,Gedebage,Gedebage,13
Jl. Thariq bin ziyad,Cisaranteun Mekar Mulya,Gedebage,Gedebage,3
Jl. Umar bin khaththab,Cisaranteun Mekar Mulya,Gedebage,Gedebage,8
Jl. Babakan Sari,Babakan Sari,Kiara Condong,Karees,43
Jl. Babakan Sari II,Babakan Sari,Kiara Condong,Karees,49
Jl. Garu,Babakan Sari,Kiara Condong,Karees,7
Jl. Garu VIII,Babakan Sari,Kiara Condong,Karees,9
Jl. Mekarsari,Babakan Sari,Kiara Condong,Karees,14
Jl. Soma,Babakan Sari,Kiara Condong,Karees,2
Jl. Wuluku II,Babakan Sari,Kiara Condong,Karees,3
Jl. Wuluku III,Babakan Sari,Kiara Condong,Karees,5
Jl. Atlas IV,Babakan Surabaya,Kiara Condong,Karees,1
Jl. Babakan Surabaya,Babakan Surabaya,Kiara Condong,Karees,3
Jl. Ibrahim Adjie,Babakan Surabaya,Kiara Condong,Karees,11
Jl. Purwakarta,Babakan Surabaya,Kiara Condong,Karees,2
Jl. Terusan Jalan Jakarta,Babakan Surabaya,Kiara Condong,Karees,17
Jl. Trs Jakarta,Babakan Surabaya,Kiara Condong,Karees,1
Jl. Antapani,Cicaheum,Kiara Condong,Karees,9
Jl. Sulaksana,Cicaheum,Kiara Condong,Karees,22
Jl. Ujung Berung,Cicaheum,Kiara Condong,Karees,17
Terminal Cicaheum,Cicaheum,Kiara Condong,Karees,9
Jl. PSM,Kebon Jayati,Kiara Condong,Karees,18
Jl. Mandala,Kebon Kangkung,Kiara Condong,Karees,9
Jl. Papanggungan,Kebon Kangkung,Kiara Condong,Karees,28
Jl. Terusan Gatot Subroto,Kebon Kangkung,Kiara Condong,Karees,7
Cluster Sukapura,Sukapura,Kiara Condong,Karees,6
Jl. Kiara Asri,Sukapura,Kiara Condong,Karees,8
Jl. Kiara Asri Barat,Sukapura,Kiara Condong,Karees,11
Jl. Kiara Asri Barat I,Sukapura,Kiara Condong,Karees,12
Jl. Kiara Asri Barat II,Sukapura,Kiara Condong,Karees,15
Jl. Kiara Asri IV,Sukapura,Kiara Condong,Karees,10
Jl. Kiara Asri Raya,Sukapura,Kiara Condong,Karees,9
Jl. Kiara Asri Utara,Sukapura,Kiara Condong,Karees,15
Jl. Kiara Asri Utara I,Sukapura,Kiara Condong,Karees,27
Jl. Kiara Asri VII,Sukapura,Kiara Condong,Karees,13
Jl. Kiara Indah,Sukapura,Kiara Condong,Karees,3
Jl. Kluster Bali II,Sukapura,Kiara Condong,Karees,17
Jl. Komplek Raflesia,Sukapura,Kiara Condong,Karees,21
Jl. Terusan PSM,Sukapura,Kiara Condong,Karees,1
Jl. Badak,Burangrang,Lengkong,Karees,1
Jl. Buah Batu,Burangrang,Lengkong,Karees,57
Jl. Burangrang,Burangrang,Lengkong,Karees,9
Jl. Cilentah,Burangrang,Lengkong,Karees,2
Jl. Emong,Burangrang,Lengkong,Karees,6
Jl. Gurame,Burangrang,Lengkong,Karees,4
Jl. Karapitan,Burangrang,Lengkong,Karees,27
Jl. Lauk Emas,Burangrang,Lengkong,Karees,2
Jl. Lengkong Kecil,Burangrang,Lengkong,Karees,15
Jl. Macan,Burangrang,Lengkong,Karees,8
Jl. Musang,Burangrang,Lengkong,Karees,2
Jl. Sadakeling,Burangrang,Lengkong,Karees,9
Jl. Sancang,Burangrang,Lengkong,Karees,9
Jl. Srigala,Burangrang,Lengkong,Karees,2
Jl. BKR,Cicagra,Lengkong,Karees,8
Jl. Batu Wulung,Cicagra,Lengkong,Karees,1
Jl. Berlian,Cicagra,Lengkong,Karees,4
Jl. Buah Batu Dalam III,Cicagra,Lengkong,Karees,59
Jl. Cijagra,Cicagra,Lengkong,Karees,20
Jl. Cijagra Elok,Cicagra,Lengkong,Karees,21
Jl. Cijagra I,Cicagra,Lengkong,Karees,45
Jl. Cijagra III,Cicagra,Lengkong,Karees,48
Jl. HM Zam Zam,Cicagra,Lengkong,Karees,2
Jl. Kecubung,Cicagra,Lengkong,Karees,3
Jl. Mutumanikam,Cicagra,Lengkong,Karees,7
Jl. Pirus,Cicagra,Lengkong,Karees,1
Jl. Pualam,Cicagra,Lengkong,Karees,2
Jl. Situ Batu,Cicagra,Lengkong,Karees,2
Jl. Situ Cileunca,Cicagra,Lengkong,Karees,2
Jl. Situ Darma,Cicagra,Lengkong,Karees,1
Jl. Situ Gede,Cicagra,Lengkong,Karees,2
Jl. Situ Lembang,Cicagra,Lengkong,Karees,1
Jl. Situ Patenggang,Cicagra,Lengkong,Karees,1
Jl. Situ Sari VII,Cicagra,Lengkong,Karees,9
Jl. Situ Sari VIII,Cicagra,Lengkong,Karees,15
Jl. Surya Darma,Cicagra,Lengkong,Karees,1
Jl. Suryalaya,Cicagra,Lengkong,Karees,18
Jl. Suryalaya I,Cicagra,Lengkong,Karees,25
Jl. Suryalaya II,Cicagra,Lengkong,Karees,28
Jl. Suryalaya III,Cicagra,Lengkong,Karees,36
Jl. Suryalaya IV,Cicagra,Lengkong,Karees,26
Jl. Suryalaya IX,Cicagra,Lengkong,Karees,29
Jl. Suryalaya Tengah,Cicagra,Lengkong,Karees,20
Jl. Suryalaya Timur,Cicagra,Lengkong,Karees,21
Jl. Suryalaya Timur II,Cicagra,Lengkong,Karees,23
Jl. Suryalaya XII,Cicagra,Lengkong,Karees,22
Jl. Zamrud,Cicagra,Lengkong,Karees,2
Jl. Alpin,Cikawao,Lengkong,Karees,3
Jl. Dalem Kaum,Cikawao,Lengkong,Karees,6
Jl. Lengkong Besar,Cikawao,Lengkong,Karees,14
Jl. Lengkong Tengah,Cikawao,Lengkong,Karees,1
Jl. Melong Kaler,Cikawao,Lengkong,Karees,1
Jl. Sasak Gantung,Cikawao,Lengkong,Karees,5
Jl. Ceremai,Lingkar Selatan,Lengkong,Karees,4
Jl. Cikurai,Lingkar Selatan,Lengkong,Karees,1
Jl. Eceng,Lingkar Selatan,Lengkong,Karees,1
Jl. Engkol,Lingkar Selatan,Lengkong,Karees,3
Jl. Galunggung,Lingkar Selatan,Lengkong,Karees,9
Jl. Kangkung Kaler,Lingkar Selatan,Lengkong,Karees,2
Jl. Kangkung Kidul,Lingkar Selatan,Lengkong,Karees,3
Jl. Palasari,Lingkar Selatan,Lengkong,Karees,16
Jl. Patuha,Lingkar Selatan,Lengkong,Karees,4
Jl. Pelajar Pejuang,Lingkar Selatan,Lengkong,Karees,33
Jl. RAA. Martanegara,Lingkar Selatan,Lengkong,Karees,20
Jl. Saladah,Lingkar Selatan,Lengkong,Karees,5
Jl. Salak,Lingkar Selatan,Lengkong,Karees,9
Jl. Saledri,Lingkar Selatan,Lengkong,Karees,5
Jl. Talaga Bodas,Lingkar Selatan,Lengkong,Karees,16
Jl. Terusan Galunggung,Lingkar Selatan,Lengkong,Karees,19
Jl. Windu,Lingkar Selatan,Lengkong,Karees,20
Jl. Cipaera,Malabar,Lengkong,Karees,4
Jl. Gajah,Malabar,Lengkong,Karees,2
Jl. Guntur,Malabar,Lengkong,Karees,8
Jl. Halimun,Malabar,Lengkong,Karees,1
Jl. Haruman,Malabar,Lengkong,Karees,4
Jl. KH. Ahmad Dahlan,Malabar,Lengkong,Karees,14
Jl. Katapang,Malabar,Lengkong,Karees,3
Jl. Katapang Wetan,Malabar,Lengkong,Karees,4
Jl. Lodaya,Malabar,Lengkong,Karees,19
Jl. Puteri,Malabar,Lengkong,Karees,1
Jl. Putri,Malabar,Lengkong,Karees,5
Jl. Tamansiswa,Malabar,Lengkong,Karees,16
Jl. Tampomas,Malabar,Lengkong,Karees,7
Jl. Wayang,Malabar,Lengkong,Karees,5
Jl. Bapak Supi,Peledang,Lengkong,Karees,2
Jl. Cikawao,Peledang,Lengkong,Karees,9
Jl. Kaca-Kaca Wetan,Peledang,Lengkong,Karees,2
Jl. Nursijan,Peledang,Lengkong,Karees,2
Jl. Paledang,Peledang,Lengkong,Karees,12
Jl. Wangsareja,Peledang,Lengkong,Karees,9
Jl. Asmarandana,Turangga,Lengkong,Karees,5
Jl. Bangreng,Turangga,Lengkong,Karees,2
Jl. Baron,Turangga,Lengkong,Karees,1
Jl. Biola,Turangga,Lengkong,Karees,1
Jl. Bonang,Turangga,Lengkong,Karees,1
Jl. Candra Wulan,Turangga,Lengkong,Karees,1
Jl. Dangdanggula,Turangga,Lengkong,Karees,3
Jl. Gambang,Turangga,Lengkong,Karees,3
Jl. Gamelan,Turangga,Lengkong,Karees,10
Jl. Gitar,Turangga,Lengkong,Karees,4
Jl. Gondang,Turangga,Lengkong,Karees,2
Jl. Goong,Turangga,Lengkong,Karees,1
Jl. Guntur Sari Kulon,Turangga,Lengkong,Karees,10
Jl. Guntur Sari Tengah,Turangga,Lengkong,Karees,10
Jl. Guntur Sari Wetan,Turangga,Lengkong,Karees,14
Jl. Haremis I,Turangga,Lengkong,Karees,2
Jl. Haremis II,Turangga,Lengkong,Karees,4
Jl. Karawitan,Turangga,Lengkong,Karees,14
Jl. Kayu agung I,Turangga,Lengkong,Karees,4
Jl. Kendang,Turangga,Lengkong,Karees,3
Jl. Kinanti,Turangga,Lengkong,Karees,5
Jl. Kliningan,Turangga,Lengkong,Karees,7
Jl. Kliningan IV,Turangga,Lengkong,Karees,9
Jl. Kliningan V,Turangga,Lengkong,Karees,10
Jl. Kliningan VI,Turangga,Lengkong,Karees,13
Jl. Kliningan asri,Turangga,Lengkong,Karees,9
Jl. Mandolin,Turangga,Lengkong,Karees,2
Jl. Marakas,Turangga,Lengkong,Karees,4
Jl. Maskumambang,Turangga,Lengkong,Karees,6
Jl. Megatru,Turangga,Lengkong,Karees,6
Jl. Mijil,Turangga,Lengkong,Karees,1
Jl. Mutiara,Turangga,Lengkong,Karees,5
Jl. Mutiara III,Turangga,Lengkong,Karees,8
Jl. Pangkur,Turangga,Lengkong,Karees,2
Jl. RH Hasan Saputra I,Turangga,Lengkong,Karees,1
Jl. RH Hasan Saputra II,Turangga,Lengkong,Karees,2
Jl. RH Hasan Saputra III,Turangga,Lengkong,Karees,3
Jl. Rajamantri kaler,Turangga,Lengkong,Karees,1
Jl. Rebana,Turangga,Lengkong,Karees,4
Jl. Reog,Turangga,Lengkong,Karees,11
Jl. Reog I,Turangga,Lengkong,Karees,15
Jl. Salendro,Turangga,Lengkong,Karees,3
Jl. Salendro utara,Turangga,Lengkong,Karees,4
Jl. Sekar Arum,Turangga,Lengkong,Karees,5
Jl. Sekar Manis,Turangga,Lengkong,Karees,4
Jl. Shimponi,Turangga,Lengkong,Karees,5
Jl. Simponi,Turangga,Lengkong,Karees,1
Jl. Solontongan,Turangga,Lengkong,Karees,5
Jl. Tamborin,Turangga,Lengkong,Karees,6
Jl. Tanjidor,Turangga,Lengkong,Karees,5
Jl. Komplek mandala,,Mandalajati,Ujung Berung,7
Jl. Mandala mekar sakinah,,Mandalajati,Ujung Berung,1
Jl. Pasir Impun,,Mandalajati,Ujung Berung,28
Jl. Sasak batu,,Mandalajati,Ujung Berung,5
Jl. Cikadut,Karang Pamulang,Mandalajati,Ujung Berung,25
Jl. Interlagos,Karang Pamulang,Mandalajati,Ujung Berung,5
Jl. Monaco,Karang Pamulang,Mandalajati,Ujung Berung,4
Jl. Tmn Graha Melati,Karang Pamulang,Mandalajati,Ujung Berung,16
Jl. cikadut raya,Karang Pamulang,Mandalajati,Ujung Berung,28
Jl. perumahanbandungcityview,Karang Pamulang,Mandalajati,Ujung Berung,44
Jl. Abdul Hamid,Mandala Jati,Mandalajati,Ujung Berung,6
Jl. Green valley residence,Mandala Jati,Mandalajati,Ujung Berung,5
Jl. Pondok Alam Resik,Mandala Jati,Mandalajati,Ujung Berung,5
Jl. Saodah,Mandala Jati,Mandalajati,Ujung Berung,6
Jl. Manisi,,Panyileukan,Gedebage,2
Jl. Pamekar Raya,,Panyileukan,Ujung Berung,29
Jl. Panghegar,,Panyileukan,Ujung Berung,3
Jl. Pasar Gede Bage,,Panyileukan,Ujung Berung,36
Jl. Pasar Gedebage los VI,,Panyileukan,Ujung Berung,2
Jl. Abadi,Cipadung Kulon,Panyileukan,Gedebage,10
Jl. Aditya,Cipadung Kulon,Panyileukan,Gedebage,4
Jl. Aggrek,Cipadung Kulon,Panyileukan,Gedebage,4
Jl. Anyelir I,Cipadung Kulon,Panyileukan,Gedebage,2
Jl. Bumi Panyileukan,Cipadung Kulon,Panyileukan,Gedebage,20
Jl. Mutiara Raya,Cipadung Kulon,Panyileukan,Gedebage,2
Jl. Raya Panyileukan,Cipadung Kulon,Panyileukan,Gedebage,22
Jl. Batu raden I,,Rancasari,Gedebage,2
Jl. Batu raden II,,Rancasari,Gedebage,8
Jl. Batu raden III,,Rancasari,Gedebage,10
Jl. Batu raden IV,,Rancasari,Gedebage,4
Jl. Batu raden IX,,Rancasari,Gedebage,5
Jl. Batu raden V,,Rancasari,Gedebage,2
Jl. Batu raden VI,,Rancasari,Gedebage,4
Jl. Batu raden VIII,,Rancasari,Gedebage,8
Jl. Cipamokolan,,Rancasari,Gedebage,67
Jl. Cipta Karya,,Rancasari,Gedebage,3
Jl. Derwati,,Rancasari,Gedebage,9
Jl. Hijau Daun,,Rancasari,Gedebage,6
Jl. Komplek batu raden,,Rancasari,Gedebage,9
Jl. Marga cipta,,Rancasari,Gedebage,11
Jl. Marga cipta I,,Rancasari,Gedebage,13
Jl. Merah Delima III,,Rancasari,Gedebage,1
Jl. Merah Delima IV,,Rancasari,Gedebage,3
Jl. Merah Delima Raya,,Rancasari,Gedebage,18
Jl. Rahayu Regency,,Rancasari,Gedebage,29
Pasar Ciwastra,,Rancasari,Gedebage,2
Terminal Ciwastra,,Rancasari,Gedebage,2
Jl. Aria barat I,Cipamokolan,Rancasari,Gedebage,3
Jl. Aria barat II,Cipamokolan,Rancasari,Gedebage,5
Jl. Aria barat III,Cipamokolan,Rancasari,Gedebage,7
Jl. Aria barat IV,Cipamokolan,Rancasari,Gedebage,4
Jl. Aria barat V,Cipamokolan,Rancasari,Gedebage,1
Jl. Aria selatan,Cipamokolan,Rancasari,Gedebage,5
Jl. Aria tengah,Cipamokolan,Rancasari,Gedebage,2
Jl. Aria timur I,Cipamokolan,Rancasari,Gedebage,7
Jl. Aria timur II,Cipamokolan,Rancasari,Gedebage,9
Jl. Arya Barat,Cipamokolan,Rancasari,Gedebage,6
Jl. Arya Timur,Cipamokolan,Rancasari,Gedebage,4
Jl. Arya Utama,Cipamokolan,Rancasari,Gedebage,19
Jl. Bumi Asih Sari,Cipamokolan,Rancasari,Gedebage,9
Jl. Bumi Santosa,Cipamokolan,Rancasari,Gedebage,5
Jl. Cisaranten Kulon,Cipamokolan,Rancasari,Gedebage,4
Jl. Gading Barat II,Cipamokolan,Rancasari,Gedebage,6
Jl. Gading Barat III,Cipamokolan,Rancasari,Gedebage,7
Jl. Gading Barat IV,Cipamokolan,Rancasari,Gedebage,5
Jl. Gading Utama,Cipamokolan,Rancasari,Gedebage,10
Jl. Gading Utama Barat,Cipamokolan,Rancasari,Gedebage,16
Jl. Gading Utama Timur,Cipamokolan,Rancasari,Gedebage,17
Jl. Gading Utara II,Cipamokolan,Rancasari,Gedebage,5
Jl. Gading Utara VI,Cipamokolan,Rancasari,Gedebage,2
Jl. Keadilan,Cipamokolan,Rancasari,Gedebage,4
Jl. Mars,Cipamokolan,Rancasari,Gedebage,1
Jl. Mars Raya,Cipamokolan,Rancasari,Gedebage,6
Jl. Mars Selatan,Cipamokolan,Rancasari,Gedebage,5
Jl. Mars Utara,Cipamokolan,Rancasari,Gedebage,9
Jl. Mars Utara 1,Cipamokolan,Rancasari,Gedebage,14
Jl. Mars Utara 2,Cipamokolan,Rancasari,Gedebage,15
Jl. Mars Utara 5,Cipamokolan,Rancasari,Gedebage,12
Jl. Mars Utara 6,Cipamokolan,Rancasari,Gedebage,12
Jl. Mars Utara 7,Cipamokolan,Rancasari,Gedebage,11
Jl. Mercuri Selatan,Cipamokolan,Rancasari,Gedebage,4
Jl. Merkuri,Cipamokolan,Rancasari,Gedebage,5
Jl. Merkuri Raya,Cipamokolan,Rancasari,Gedebage,12
Jl. Merkuri Selatan,Cipamokolan,Rancasari,Gedebage,6
Jl. Merkuri Timur,Cipamokolan,Rancasari,Gedebage,10
Jl. Merkuri Utara 1,Cipamokolan,Rancasari,Gedebage,8
Jl. Nuansa Indah,Cipamokolan,Rancasari,Gedebage,4
Jl. Nuansa Mas,Cipamokolan,Rancasari,Gedebage,4
Jl. Parakan Saat,Cipamokolan,Rancasari,Gedebage,12
Jl. Perum cipamokolan,Cipamokolan,Rancasari,Gedebage,4
Jl. Pratama Asri,Cipamokolan,Rancasari,Gedebage,6
Jl. Puri Asih Raya,Cipamokolan,Rancasari,Gedebage,7
Jl. Riung Bandung Permai,Cipamokolan,Rancasari,Gedebage,2
Jl. Riung Saluyu,Cipamokolan,Rancasari,Gedebage,3
Jl. Saturnus Raya,Cipamokolan,Rancasari,Gedebage,8
Jl. Saturnus Tengah,Cipamokolan,Rancasari,Gedebage,3
Jl. Saturnus Timur,Cipamokolan,Rancasari,Gedebage,2
Jl. Saturnus Utara,Cipamokolan,Rancasari,Gedebage,1
Jl. Saturnus Utara V,Cipamokolan,Rancasari,Gedebage,10
Jl. Saturnus Utara XVII,Cipamokolan,Rancasari,Gedebage,5
Jl. Sentosa Asih Jaya,Cipamokolan,Rancasari,Gedebage,4
"Jl. Taman Saturnus II,III,I",Cipamokolan,Rancasari,Gedebage,3
Jl. Tatasurya,Cipamokolan,Rancasari,Gedebage,11
Jl. Tmn Saturnus,Cipamokolan,Rancasari,Gedebage,3
Jl. Venus Barat,Cipamokolan,Rancasari,Gedebage,2
Jl. Venus Barat III,Cipamokolan,Rancasari,Gedebage,7
Jl. Venus Barat IV,Cipamokolan,Rancasari,Gedebage,8
Jl. Venus Barat IX,Cipamokolan,Rancasari,Gedebage,5
Jl. Venus Barat V dan VI,Cipamokolan,Rancasari,Gedebage,6
Jl. Venus Raya,Cipamokolan,Rancasari,Gedebage,19
Jl. Venus timur I,Cipamokolan,Rancasari,Gedebage,7
Jl. Venus timur IX,Cipamokolan,Rancasari,Gedebage,12
Jl. Venus timur VII,Cipamokolan,Rancasari,Gedebage,6
Jl. Venus timur VIII,Cipamokolan,Rancasari,Gedebage,7
Jl. Venus timur X,Cipamokolan,Rancasari,Gedebage,7
Jl. Venus timur XII,Cipamokolan,Rancasari,Gedebage,9
Jl. Venus timur XIII,Cipamokolan,Rancasari,Gedebage,11
Jl. Adi Bakung,Darwati,Rancasari,Gedebage,3
Jl. Adi Baugenvile,Darwati,Rancasari,Gedebage,4
Jl. Adi Bromelia,Darwati,Rancasari,Gedebage,1
Jl. Adi Gardenia,Darwati,Rancasari,Gedebage,4
Jl. Adi Getiana,Darwati,Rancasari,Gedebage,2
Jl. Adi Goadiol,Darwati,Rancasari,Gedebage,1
Jl. Adi Hanjuang,Darwati,Rancasari,Gedebage,1
Jl. Adi Katalea,Darwati,Rancasari,Gedebage,1
Jl. Adi Kecubung,Darwati,Rancasari,Gedebage,5
Jl. Adi Kemuning,Darwati,Rancasari,Gedebage,3
Jl. Adi Krisna,Darwati,Rancasari,Gedebage,3
Jl. Adi Lily,Darwati,Rancasari,Gedebage,1
Jl. Adi Matahari,Darwati,Rancasari,Gedebage,2
Jl. Adi Sedap Malam,Darwati,Rancasari,Gedebage,4
Jl. Adi Seroja,Darwati,Rancasari,Gedebage,2
Jl. Adi Tanjung,Darwati,Rancasari,Gedebage,3
Jl. Adi Teratai,Darwati,Rancasari,Gedebage,3
Jl. Crysantium,Darwati,Rancasari,Gedebage,4
Jl. Inter Sejahtra,Darwati,Rancasari,Gedebage,2
Jl. Saluyu Indah Raya,Darwati,Rancasari,Gedebage,12
Kantor Kecamatan Gedebage,Darwati,Rancasari,Gedebage,9
Jl. Kembar Mas Utama,Ancol,Regol,Karees,12
Jl. Kembar Mas Utara,Ancol,Regol,Karees,15
Jl. Moch. Ramdhan,Ancol,Regol,Karees,19
Jl. Pasir Salam XII,Ancol,Regol,Karees,7
Jl. Pasir Subur,Ancol,Regol,Karees,4
Jl. Pasirluyu,Ancol,Regol,Karees,14
Jl. chj,Ancol,Regol,Karees,1
Jl. Alun-Alun Timur,Balong Gede,Regol,Karees,16
Jl. Alun-alun,Balong Gede,Regol,Karees,12
Jl. Balonggede,Balong Gede,Regol,Karees,19
Jl. Ciguriang,Balong Gede,Regol,Karees,3
Jl. Dewi Sartika,Balong Gede,Regol,Karees,26
Jl. Kautamaan Istri,Balong Gede,Regol,Karees,13
Jl. Kepatihan,Balong Gede,Regol,Karees,8
Jl. Otto Iskandar Dinata,Balong Gede,Regol,Karees,40
Jl. Pasundan,Balong Gede,Regol,Karees,10
Jl. Pungkur,Balong Gede,Regol,Karees,22
Jl. Simpang,Balong Gede,Regol,Karees,3
Jl. Terusan Pasirkoja,Balong Gede,Regol,Karees,4
Pendopo Kota Bandung,Balong Gede,Regol,Karees,12
Jl. Ibu Inggit Garnasih,Ciateul,Regol,Karees,18
Jl. Kota Baru,Ciateul,Regol,Karees,7
Jl. PLN Ciateul,Ciateul,Regol,Karees,7
Jl. PLN I,Ciateul,Regol,Karees,3
Jl. PLN II,Ciateul,Regol,Karees,5
Jl. PLN IV,Ciateul,Regol,Karees,5
Jl. PLN V,Ciateul,Regol,Karees,1
Jl. Samsudin,Ciateul,Regol,Karees,8
