NO,BULAN,JUMLAH
1,JANUARI,18
2,FEBRUARI,12
3,MARET,9
4,APRIL,19
5,MEI,11
6,JUNI,21
7,JULI,12
8,AGUSTUS,16
9,SEPTEMBER ,17
10,OKTOBER,14
11,NOVEMBER,5
12,DESEMBER,10
13,JUMLAH,164
