No,KELURAHAN,Jumlah RT,JUMLAH RW,PENDUDUK PRIA,PENDUDUK WANITA,ISLAM,KATOLIK,PROTESTAN,HINDU,BUDHA
1,Sukamiskin,92,17,9883,9276,17167,869,1038,62,23
2,Cisaranten Binaharapan,49,11,6714,5561,12044,63,161,5,2
3,Cisaranten Kulon,58,11,8769,8598,16996,78,282,8,3
4,Cisaranten Endah,69,12,8481,8254,16398,117,208,3,9
,Jumlah,268,51,33847,31689,62605,1127,1689,78,37
