bidang_urusan,tahun,total_usulan,urusan_wajib,urusan_pilihan,jml_program,jml_kegiatan,jml_diakomodir,jml_tdk_diakomodir,jml_dana_usulan
Pendidikan,2016,365,365,0,7,87,71,294,68064792000
Kesehatan,2016,445,445,0,20,72,261,184,59275765000
Pekerjaan umum,2016,2757,2757,0,24,97,835,1922,850905072850
Perumahan,2016,318,318,0,7,32,23,295,37392900000
Penataan Ruang,2016,1,1,0,1,1,0,1,10000000
Perencanaan pembangunan,2016,1,1,0,1,1,0,1,500000000
Perhubungan,2016,50,50,0,3,8,44,6,1570900000
Lingkungan Hidup,2016,578,578,0,11,43,212,366,40216925000
Pertanahan,2016,111,111,0,2,11,100,11,217893000000
Kependudukan dan catatan sipil,2016,12,12,0,2,6,12,0,306000000
Pemberdayaan perempuan dan perlindungan anak,2016,6,6,0,3,5,5,1,127500000
Keluarga berencana dan keluarga sejahtera,2016,42,42,0,9,14,31,11,753400000
Sosial,2016,55,55,0,9,20,40,15,1846856000
Ketenagakerjaan,2016,120,120,0,6,15,30,90,5001150000
Koperasi dan usaha kecil dan menengah,2016,211,211,0,7,33,83,128,8525214000
Kebudayaan,2016,81,81,0,2,9,1,80,14013560000
Kepemudaan dan olah raga,2016,221,221,0,2,7,15,206,15167465000
Kesatuan bangsa dan politik dalam negeri,2016,78,78,0,7,13,35,43,7444725000
"Otonomi daerah, pemerintahan umum, administrasi keuangan, perangkat daerah, kepegawaian dan persandian",2016,41,41,0,6,12,11,30,8104600000
Ketahanan pangan,2016,20,20,0,1,8,7,13,805500000
Pemberdayaan masyarakat dan desa,2016,73,73,0,8,16,15,58,7002968000
Komunikasi dan informatika,2016,17,17,0,4,6,6,11,598400000
Perpustakaan,2016,6,6,0,1,3,2,4,98000000
Pertanian,2016,80,0,80,3,8,74,6,103356500000
Pariwisata,2016,2,0,2,2,2,0,2,170000000
Kelautan dan Perikanan,2016,14,0,14,1,2,14,0,668000000
Perdagangan,2016,1,0,1,1,1,1,0,50000000
Industri,2016,3,0,3,2,2,3,0,66128000
Pariwisata,2016,3,0,3,2,3,0,3,930000000
Kelautan dan Perikanan,2016,11,0,11,1,1,10,1,405000000
Perdagangan,2016,4,1,3,4,4,2,2,663500000
Industri,2016,2,0,2,2,2,2,0,20000000
