NO.,KELURAHAN,,KARTU KELUARGA,,KTP,SKTS,SK. AHLI WARIS
1.,CISARANTEUN KIDUL,,97,,127,0,2
2.,RANCABOLANG,,39,,37,0,2
3.,CIMINCRANG ,,20,,8,0,0
4.,RANCANUMPANG,,21,,25,0,2
,JUMLAH,,177,,197,0,6
