No.,NAMA PERUSAHAAN ,ALAMAT ,JENIS USAHA,JUMLAH KARYAWAN,KELURAHAN
1,,Jl.Riung Mukti Raya No.5 Rt 06/10,Kripik Jamur,5 Orang,Cisaranten Kidul
2,,Gedebage Wetan RT.03/03,Miniatur Kendaraan,-,Cisaranten Kidul
3,,Rancakamurang RT.02/08,Sale Pisang,-,Cisaranten Kidul
4,,Jl.Riung Arum Raya No.2 Rt.07/10,Kue Basah/Pukis,7 Orang,Cisaranten Kidul
5,,Gedebage Wetan RT.03/03,Kripik Pisang /Sukun,5 Orang,Cisaranten Kidul
6,BUNDA KUE,JL. Derwati Rt.04/ 03,Aneka Kue & Cake,2 Orang,Rancabolang
7,RAJUTAN,JL. Derwati Rt.01/ 03,Rajutan/Pakaian Jadi,4 Orang,Rancabolang
8,,JL. Derwati Rt.04/ 01,Cireng Isi,3 Orang,Rancabolang
9,CV. IMPAR DERWATI,JL. Derwati Rt.01/ 03,,10 Orang,Rancabolang
10,NATA DE COCO ASSYFA,JL.Gedebage Selatan,Nata Decoco,5 Orang,Rancabolang
11,,Rancabolang RT.01 /02,Rajutan / Switer,10 Orang,Rancabolang
12,,Rancabolang RT.06 /01,Sarana Aqiqah,4 Orang,Rancabolang
13,,GCA. D-9 RT 01/ 07,Makanan Kering,1 Orang,Rancanumpang
14,,GCA. D-5 RT 01/ 07,Makanan Kering,1 Orang,Rancanumpang
15,,GCA. D-5 RT 01/ 07,Seragam Sekolah,1 Orang,Rancanumpang
16,,GCA. M-8 No.58 RW 06,Kue Basah,1 Orang,Rancanumpang
17,,GCA. M-13 RW 06,Kue Basah,1 Orang,Rancanumpang
18,,GCA. M No.115 RW 06,Jahit Pakaian,1 Orang,Rancanumpang
19,,GCA. M-7 No.46 RW 06,Kue Basah,2 Orang,Rancanumpang
20,,GCA. RW 06,Pakaian,2 Orang,Rancanumpang
21,,GCA. M-14 RW 06,Bandeng Presto,2 Orang,Rancanumpang
22,,KOMP. PITALOKA RW 03,Mebeul,6 Orang,Rancanumpang
23,,JL. Mulya No.17 RW 03,Kecimpring,1 Orang,Rancanumpang
24,,JL. Mekar No.48 RW 03,Kue Donat,1 Orang,Rancanumpang
25,,JL. Mulya No.49 RW 03,Cemilan Kacang,2 Orang,Rancanumpang
26,,GCA. Blok. I No. 90,Zupa-zupa,6 Orang,Rancanumpang
27,,GCA. J-3 No. 108,Konveksi,2 Orang,Rancanumpang
28,,GCA. J-3 No. 106,Kue Basah / Keringan,2 Orang,Rancanumpang
29,,GCA. I-32 RW 04,Comrang,2 Orang,Rancanumpang
30,,GCA. K-32 RT 01/ 04,Kue Basah,2 Orang,Rancanumpang
31,,GCA. J-2 RW 04,Konveksi,2 Orang,Rancanumpang
32,,GCA. D-6 RT 03/ 07,Makanan ,8 Orang,Rancanumpang
33,,Rancanumpang RT 05/01,Ranggining,1 Orang,Rancanumpang
34,,Rancanumpang RT 03/01,Ranggining,1 Orang,Rancanumpang
35,,Rancanumpang RT 03/01,Rempeyek / Goerengan,1 Orang,Rancanumpang
36,,Rancanumpang RT 03/01,Aug Beras,1 Orang,Rancanumpang
37,,GCA. C-6 No. 40,Seragam Sekolah,5 Orang,Rancanumpang
38,INEU SALON,Cilameta RT 03/ 01,Rias Pengantin,5 Orang,Cimincrang
39,DEVANA TAILOR,Cilameta RT 01/ 01,Konveksi,2 Orang,Cimincrang
40,NANS ART PANINTING,Cilameta RT 02/ 02,Lukisan,1 Orang,Cimincrang
41,YANS TAILOR,Cilameta RT 02/ 01,Penjahit,1 Orang,Cimincrang
42,CHOME INDUSTRI MEMES,Cilameta RT 03/ 01,Telor Asin,3 Orang,Cimincrang
43,,Cimincrang RT 02/05,Telor Asin,1 Orang,Cimincrang
44,EULIS FURI,Cimincrang RT 01/06,Kerudung,1 Orang,Cimincrang
45,,Cimincrang RT 03/06,Manik-manik,2 Orang,Cimincrang
46,,Cimincrang RT 03/06,Kue Basah,2 Orang,Cimincrang
47,,Cimincrang RT 03/06,Telor Asin,10 Orang,Cimincrang
48,,GCA. D-7 RT 01/07,Konveksi,2 Orang,Cimincrang
49,KUE KOE,GCA. D-7 RT 01/07,Kue Basah/Kering,2 Orang,Cimincrang
50,,GCA. D-7 RT 01/07,Kue Basah/Kering,1 Orang,Cimincrang
51,KUKER MEIDY,GCA. D-XI RT 02/07,Kue Basah/Kering,2 Orang,Cimincrang
52,,GCA. D-XI RT 03/07,Kue Basah/Kering,2 Orang,Cimincrang
53,,GCA. E-i-7 RT 05/07,Kue Basah/Kering,2 Orang,Cimincrang
54,KINANTI MITRA MANDIRI,GCA.  RT 07/07,Busana Muslim,5 Orang,Cimincrang
